primary_layer,primary_category,count,percentage_of_57_failures
L1,import or unresolved-reference error,1,1.8%
L1,incomplete runnable code,3,5.3%
L1,invalid target API usage,25,43.9%
L1,type or runtime error,3,5.3%
L2,index or datetime contract mismatch,6,10.5%
L2,invalid target API usage,1,1.8%
L2,missing one or more steps,4,7.0%
L2,return-type mismatch,5,8.8%
L2,schema mismatch,2,3.5%
L2,"wrong aggregation, filtering, or join logic",2,3.5%
L2,wrong logical direction,1,1.8%
L3,dtype-sensitive behaviour,3,5.3%
L3,empty-input handling,1,1.8%
