experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
exp3,05afd878_evaluate_coassembly_edges,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_evaluate_coassembly_edges: ColumnNotFoundError: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]","smoke : columnnotfounderror: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]"
exp3,05afd878_evaluate_combined,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence evaluate_combined: MISMATCH — column sets differ (before-only=set(), gen-only={'geneold', 'coassemblyold', 'sequenceold'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'geneold', 'coassemblyold', 'sequenceold'})"
exp3,05afd878_evaluate_nontarget,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_evaluate_nontarget: ShapeError: unable to append to a DataFrame of width 5 with a DataFrame of width 7,smoke : shapeerror: unable to append to a dataframe of width 5 with a dataframe of width 7
exp3,287a28d8_col_starts_with,L2,standard behavioural mismatch,incorrect condition,L3,causal review required,"❌ L2 equivalence col_starts_with: setup error — TypeError: list indices must be integers or slices, not list","equivalence : setup error — typeerror: list indices must be integers or slices, not list"
exp3,29097c0c_train_iloc_filter,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_train_iloc_filter: AttributeError: 'DataFrame' object has no attribute 'with_row_index',smoke : attributeerror: 'dataframe' object has no attribute 'with_row_index'
exp3,29097c0c_train_merge_concat,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_train_merge_concat: AttributeError: 'DataFrame' object has no attribute 'with_row_index',smoke : attributeerror: 'dataframe' object has no attribute 'with_row_index'
exp3,3c49cad1_bench_precip_regular,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_bench_precip_regular: TypeError: expected pandas DataFrame or Series, got 'DataFrame'","smoke : typeerror: expected pandas dataframe or series, got 'dataframe'"
exp3,3c49cad1_mosmix_access_datetime,L2,standard behavioural mismatch,missing one or more steps,L3,causal review required,❌ L2 equivalence mosmix_access_datetime: setup error — AttributeError: 'NoneType' object has no attribute 'to_list',equivalence : setup error — attributeerror: 'nonetype' object has no attribute 'to_list'
exp3,3c49cad1_radar_index_radolan,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_radar_index_radolan: InvalidOperationError: cannot cast List type (inner: 'String', to: 'String')","smoke : invalidoperationerror: cannot cast list type (inner: 'string', to: 'string')"
exp3,3c49cad1_timeseries_extract,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_timeseries_extract: AttributeError: 'Series' object has no attribute 'values',smoke : attributeerror: 'series' object has no attribute 'values'
exp3,3c49cad1_timeseries_gain,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence timeseries_gain: MISMATCH — before_scores=(0, 0), gen_scores=(1, 1)","equivalence : mismatch — before_scores=(0, 0), gen_scores=(1, 1)"
exp3,4bb33aa8_trx_stats_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_trx_stats_isin: SyntaxError: generated code for trx_stats_isin is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp3,6f1c2684_datasets_read_csv,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence datasets_read_csv: MISMATCH — one side returned DataFrame, other did not","equivalence : mismatch — one side returned dataframe, other did not"
exp3,73a39d90_metrics_groupby_partition,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",L3,causal review required,"❌ L2 equivalence metrics_groupby_partition: MISMATCH — DataFrames are different (value mismatch for column ""q10"")","equivalence : mismatch — dataframes are different (value mismatch for column ""q10"")"
exp3,8017f91b_eval_hybrid_concat_sort,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence eval_hybrid_concat_sort: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
exp3,8017f91b_input_loc_index_item,L2,standard behavioural mismatch,return-type mismatch,,none,"❌ L2 equivalence input_loc_index_item: MISMATCH — before=101, gen=None","equivalence : mismatch — before=101, gen=none"
exp3,8017f91b_pairwise_cosine_loc,L2,standard behavioural mismatch,index or datetime contract mismatch,,none,"❌ L2 equivalence pairwise_cosine_loc: MISMATCH - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}","equivalence : mismatch - before={'col_embedding': array([0.4, 0.5, 0.6]), 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': array([0.1, 0.2, 0.3])}, gen={'col_embedding': 102, 'document_id_1': 101, 'document_id_2': 102, 'row_embedding': 101}"
exp3,8017f91b_pairwise_loc_filter,L2,standard behavioural mismatch,index or datetime contract mismatch,L3,causal review required,"❌ L2 equivalence pairwise_loc_filter: MISMATCH - before=(['paper_A', 'paper_B'], ['paper_C']), gen=([['paper_A', 'paper_B']], [['paper_C']])","equivalence : mismatch - before=(['paper_a', 'paper_b'], ['paper_c']), gen=([['paper_a', 'paper_b']], [['paper_c']])"
exp3,8017f91b_precompute_cross_join,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence precompute_cross_join: MISMATCH — DataFrames are different (value mismatch for column ""document_id"")","equivalence : mismatch — dataframes are different (value mismatch for column ""document_id"")"
exp3,83c12695_collect_pivot,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_collect_pivot: ComputeError: UDF failed: Series.mean() got an unexpected keyword argument 'axis',smoke : computeerror: udf failed: series.mean() got an unexpected keyword argument 'axis'
exp3,8bb7bc3a_expose_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_expose_isin: SyntaxError: generated code for expose_isin is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp3,8c71f3c7_attr_getter_unseen_frame,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_attr_getter_unseen_frame: TypeError: unexpected value while building Series of type Int64; found value of type Float64: 0.9,smoke : typeerror: unexpected value while building series of type int64; found value of type float64: 0.9
exp3,8c71f3c7_hybrid_scorer_citation_index,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_hybrid_scorer_citation_index: SyntaxError: generated code for hybrid_scorer_citation_index is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp3,8c71f3c7_hybrid_scorer_language_index,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_hybrid_scorer_language_index: SyntaxError: generated code for hybrid_scorer_language_index is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp3,8c71f3c7_input_converter_index,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence input_converter_index: MISMATCH — before=101, generated=None","equivalence : mismatch — before=101, generated=none"
exp3,8c71f3c7_pairwise_loc_colname,L2,standard behavioural mismatch,index or datetime contract mismatch,L3,causal review required,"❌ L2 equivalence pairwise_loc_colname captured locals: MISMATCH — before=('paper_A', 'paper_B'), gen=(['paper_A'], ['paper_B'])","equivalence captured locals: mismatch — before=('paper_a', 'paper_b'), gen=(['paper_a'], ['paper_b'])"
exp3,92e35040_query_appraised,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_query_appraised: InvalidOperationError: attempted list to_struct on non-list dtype: str,smoke : invalidoperationerror: attempted list to_struct on non-list dtype: str
exp3,99aff9e0_rename_columns_empty_df,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence rename_columns_empty_df: MISMATCH — column sets differ (before-only={'chrom_1', 'end_1', 'start_1'}, gen-only={'chrom', 'start', 'end'})","equivalence : mismatch — column sets differ (before-only={'chrom_1', 'end_1', 'start_1'}, gen-only={'chrom', 'start', 'end'})"
exp3,a39f4527_expose_trx_join_filter,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_expose_trx_join_filter: InvalidOperationError: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)","smoke : invalidoperationerror: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)"
exp3,a39f4527_expose_trx_pivot,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_expose_trx_pivot: AttributeError: 'DataFrame' object has no attribute 'reset_index',smoke : attributeerror: 'dataframe' object has no attribute 'reset_index'
exp3,a39f4527_expose_trx_unique,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence expose_trx_unique return contract: MISMATCH — before=list, gen=DataFrame","equivalence return contract: mismatch — before=list, gen=dataframe"
exp3,a52cebfe_common_summary_filter,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge common_summary_filter missing key: MISMATCH - before_error=KeyError, gen_error=None","edge missing key: mismatch - before_error=keyerror, gen_error=none"
exp3,a52cebfe_measured_data_pivot_join,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence measured_data_pivot_join labels and values: MISMATCH — column sets differ (before-only={'row'}, gen-only=set())","equivalence labels and values: mismatch — column sets differ (before-only={'row'}, gen-only=set())"
exp3,a52cebfe_rft_concat_write,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge rft_concat_write frame: MISMATCH — column sets differ (before-only={'Iteration', 'Ensemble', 'Well'}, gen-only=set()) | ❌ L3 edge rft_concat_write CSV contents: MISMATCH — before='Realization,Well,Ensemble,Iteration,value\n1,W1,E1,1,5.0\n2,W1,E1,1,6.0\n', gen='Realization,value\n1,5.0\n2,6.0\n'","edge frame: mismatch — column sets differ (before-only={'iteration', 'ensemble', 'well'}, gen-only=set()) | edge csv contents: mismatch — before='realization,well,ensemble,iteration,value\n1,w1,e1,1,5.0\n2,w1,e1,1,6.0\n', gen='realization,value\n1,5.0\n2,6.0\n'"
exp3,a52cebfe_rft_obs_join,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_rft_obs_join: TypeError: argument 'name': 'int' object cannot be cast as 'str',smoke : typeerror: argument 'name': 'int' object cannot be cast as 'str'
exp3,acryo_molecules_subset_migration,L1,execution failure,type or runtime error,L2,causal review required,"❌ L1 smoke gen_acryo_molecules_subset_migration: TypeError: list indices must be integers or slices, not list","smoke : typeerror: list indices must be integers or slices, not list"
exp3,adjacency_create_matrix_loop,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,❌ L2 equivalence adjacency_create_matrix_loop fp side effect: MISMATCH — DataFrames are different (height (row count) mismatch) | ❌ L2 equivalence adjacency_create_matrix_loop network side effect: MISMATCH — DataFrames are different (height (row count) mismatch),equivalence fp side effect: mismatch — dataframes are different (height (row count) mismatch) | equivalence network side effect: mismatch — dataframes are different (height (row count) mismatch)
exp3,adjacency_read_file_to_polars,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_adjacency_read_file_to_polars: TypeError: expected pandas DataFrame or Series, got 'DataFrame'","smoke : typeerror: expected pandas dataframe or series, got 'dataframe'"
exp3,d90ed416_ibis_join,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_ibis_join: ComputeError: The output type of the 'map_rows' function cannot be determined.,smoke : computeerror: the output type of the 'map_rows' function cannot be determined.
exp3,dcff23d0_filter_concat_all,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_filter_concat_all: ValueError: Series only supports 'vertical' concat strategy,smoke : valueerror: series only supports 'vertical' concat strategy
exp3,e8fa7691_design_matrix_model,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence design_matrix_model: MISMATCH — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}","equivalence : mismatch — before={'rows': [['1', '10'], ['2', '20'], ['3', '30']], 'headers': ['run_a', 'run_b', 'run_c']}, gen={'rows': [['1', '10', 'run_a'], ['2', '20', 'run_b'], ['3', '30', 'run_c']], 'headers': ['0', '1', '2']}"
exp3,ed3b46c0_base_pattern_pred_concat,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_base_pattern_pred_concat: TypeError: Index(...) must be called with a collection of some kind, Ellipsis was passed","smoke : typeerror: index(...) must be called with a collection of some kind, ellipsis was passed"
exp3,ed3b46c0_classification_pred_concat,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_classification_pred_concat: UnboundLocalError: cannot access local variable 'base_df' where it is not associated with a value,smoke : unboundlocalerror: cannot access local variable 'base_df' where it is not associated with a value
exp3,efc0581f_data_filter_page,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_data_filter_page: TypeError: Index(...) must be called with a collection of some kind, <Expr ['[(col(""page"")) == (dyn int: 1)…'] at 0x12F3ECBF0> was passed","smoke : typeerror: index(...) must be called with a collection of some kind, <expr ['[(col(""page"")) == (dyn int: 1)…'] at 0x12f3ecbf0> was passed"
exp3,efc0581f_data_groupby_agg_text,L1,execution failure,invalid target API usage,L2,causal review required,❌ L1 smoke gen_data_groupby_agg_text: AttributeError: 'Series' object has no attribute 'strip_chars',smoke : attributeerror: 'series' object has no attribute 'strip_chars'
exp3,efc0581f_dedup_vertical_sort_cumcount,L3,edge-case failure,ordering stability,,none,❌ L3 edge dedup_vertical_sort_cumcount duplicates: MISMATCH — DataFrames are different (height (row count) mismatch),edge duplicates: mismatch — dataframes are different (height (row count) mismatch)
exp3,efc0581f_ident_explode_cells,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge ident_explode_cells malformed delimiter: MISMATCH - before returned DataFrame, generated raised ComputeError: get index is out of bounds","edge malformed delimiter: mismatch - before returned dataframe, generated raised computeerror: get index is out of bounds"
exp3,efc0581f_ident_from_dicts_cross,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,❌ L2 equivalence ident_from_dicts_cross: setup error — InvalidOperationError: `Expr.list.to_struct` requires either `fields` to be a sequence or `upper_bound` to be set.,equivalence : setup error — invalidoperationerror: `expr.list.to_struct` requires either `fields` to be a sequence or `upper_bound` to be set.
exp3,efc0581f_tesseract_nan_none,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_tesseract_nan_none: AttributeError: 'dict' object has no attribute 'with_columns',smoke : attributeerror: 'dict' object has no attribute 'with_columns'
exp3,img2table_cells_vertical_deduplication_migration,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",L3,causal review required,❌ L2 equivalence img2table_cells_vertical_deduplication_migration: MISMATCH — DataFrames are different (height (row count) mismatch),equivalence : mismatch — dataframes are different (height (row count) mismatch)
exp3,img2table_lines_intersection_formula_migration,L2,execution failure,lazy/eager misuse,L3,causal review required,❌ L2 equivalence img2table_lines_intersection_formula_migration: MISMATCH - generated returned an unresolved Polars Expr,equivalence : mismatch - generated returned an unresolved polars expr
exp3,marimo_chdb_cursor_rows,L1,execution failure,type or runtime error,L2,causal review required,"❌ L1 smoke gen_marimo_chdb_cursor_rows: TypeError: unexpected value while building Series of type Int64; found value of type String: ""alpha""","smoke : typeerror: unexpected value while building series of type int64; found value of type string: ""alpha"""
exp3,medmodels_propensity_score_prop_score_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence medmodels_propensity_score_prop_score_migration: MISMATCH — column sets differ (before-only=set(), gen-only={'age', 'gender', 'bmi'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'age', 'gender', 'bmi'})"
exp3,mexca_data_merge_features_migration,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_mexca_data_merge_features_migration: UnboundLocalError: cannot access local variable 'dfs' where it is not associated with a value,smoke : unboundlocalerror: cannot access local variable 'dfs' where it is not associated with a value
exp3,pheval_parse_hgnc_data,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_pheval_parse_hgnc_data: TypeError: `schema_overrides` should be of type list or dict,smoke : typeerror: `schema_overrides` should be of type list or dict
exp3,portfolio_momentum_rsi,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence portfolio_momentum_rsi: MISMATCH — DataFrames are different (value mismatch for column ""RSI"")","equivalence : mismatch — dataframes are different (value mismatch for column ""rsi"")"
exp3,portfolio_momentum_stoch_osc,L1,execution failure,import or unresolved-reference error,"L2,L3",causal review required,❌ L1 smoke gen_portfolio_momentum_stoch_osc: NameError: name 'stochastic_oscillator' is not defined,smoke : nameerror: name 'stochastic_oscillator' is not defined
exp3,portfolio_stock_from_pandas,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence portfolio_stock_from_pandas: MISMATCH — column sets differ (before-only={'Datetime'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'datetime'}, gen-only=set())"
exp3,quant_backtester_calculate_returns_migration,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence quant_backtester_calculate_returns_migration: MISMATCH — column sets differ (before-only={'index'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'index'}, gen-only=set())"
exp3,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration: ColumnNotFoundError: unable to find column ""Date""; valid columns: [""index"", ""Close""]","smoke : columnnotfounderror: unable to find column ""date""; valid columns: [""index"", ""close""]"
exp3,vnc_cmatrix_reindex,L3,edge-case failure,null- or missing-value handling,,none,❌ L3 branch vnc_cmatrix_reindex valid: TypeError: unexpected value while building Series of type Int64; found value of type Float64: NaN,branch valid: typeerror: unexpected value while building series of type int64; found value of type float64: nan
