repo,pr_title,pr_url,author,comments,created_at,updated_at,hit_pandas,hit_polars,pp_valid
vega/altair,"feat: make pandas and NumPy optional dependencies, don't require PyArrow for plotting with Polars/Modin/cuDF",https://github.com/vega/altair/pull/3452,MarcoGorelli,25,2024-06-30T15:48:18Z,2024-07-17T09:23:50Z,,,
precice/precice,Fix profiling tests checking for pandas instead of polars,https://github.com/precice/precice/pull/1773,fsimonis,8,2023-08-14T10:34:09Z,2023-08-16T13:49:58Z,False,False,False
ClickHouse/ClickBench,"Add benchmark on Pandas DataFrame for Pandas, Polars, DuckDB, chDB",https://github.com/ClickHouse/ClickBench/pull/222,auxten,7,2024-09-09T09:18:22Z,2024-11-25T13:03:42Z,,,
scikit-learn/scikit-learn,CI Use conda-forge for min-dependencies build and add polars and pandas,https://github.com/scikit-learn/scikit-learn/pull/29502,lesteve,7,2024-07-16T13:40:30Z,2024-07-30T10:09:57Z,False,False,False
narwhals-dev/narwhals,feat: add `DataFrame.pivot` for pandas like and Polars backend,https://github.com/narwhals-dev/narwhals/pull/546,FBruzzesi,6,2024-07-17T15:24:29Z,2024-11-13T10:24:40Z,False,False,False
pola-rs/polars,feat: Support executing polars SQL against `pandas` and `pyarrow` objects,https://github.com/pola-rs/polars/pull/16746,alexander-beedie,6,2024-06-05T14:24:02Z,2024-06-06T06:54:09Z,False,False,False
huggingface/dataset-viewer,[docs] Pandas to Polars,https://github.com/huggingface/dataset-viewer/pull/978,stevhliu,6,2023-03-22T23:53:58Z,2023-03-29T08:00:02Z,False,False,False
sonder-art/fdd_o24,"Tareas Docker, python, env, pandas, polars, fastapi",https://github.com/sonder-art/fdd_o24/pull/59,EduardoGC21,5,2024-10-13T22:08:08Z,2024-11-27T19:06:48Z,False,False,False
Quansight/Quansight-website,[BLOG] The Polars vs pandas difference nobody is talking about,https://github.com/Quansight/Quansight-website/pull/843,MarcoGorelli,4,2024-04-26T09:50:54Z,2024-11-11T16:25:58Z,,,
seperman/deepdiff,feature: optional pandas and polars support,https://github.com/seperman/deepdiff/pull/467,TyberiusPrime,4,2024-06-28T16:12:05Z,2024-08-27T22:31:16Z,,,
pyjanitor-devs/pyjanitor,create polars equivalent of pandas_flavor,https://github.com/pyjanitor-devs/pyjanitor/pull/1374,samukweku,4,2024-06-14T12:00:04Z,2024-06-20T23:03:59Z,,,
scikit-learn/scikit-learn,DOC replace pandas with Polars in examples/gaussian_process/plot_gpr_co2.py,https://github.com/scikit-learn/scikit-learn/pull/28804,raisadz,4,2024-04-10T13:47:01Z,2024-05-17T08:56:04Z,False,False,False
