repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
1smay3/smay_equities,67a3b6bba945c0de5bb34a0d293d3cd5afac5a75,1spencermay3,2024-05-26T20:57:06+01:00,MAYC-3 change dataframe framework from pandas to polars,6,IO boundary;Aggregation & joins;Core dataframe transforms;Types & schema,DataFrame;General functions;Input/output,Core dataframe transforms;Other polars API;Types & schema,False,data/data_cache/arctic.py;data/data_store.py;data/processing/generic.py;data/processing/politicians_trades.py;data/processing/prices.py;fmp/fmp_data.py
Aalto-Salsa-Society/salsa-raffle,e1b45a0fcbd2cc6eece6ac9752a60dd25119d9cb,Menno,2024-01-10T11:24:56+01:00,chore: replace `pandas` with `polars` (#1),1,IO boundary;Aggregation & joins;Time series & window;Core dataframe transforms;Index & pandas-specific semantics,DataFrame;General functions;Index objects;Input/output;Series,Core dataframe transforms;Input/output;Time series & window,False,create_groups.py
AroneyS/binchicken,a841955a96a654d4c6a2642489313a1371d8cf0c,AroneyS,2023-11-06T14:46:29+10:00,refactor summarise_coassemblies as function also switch to polars,1,IO boundary;Core dataframe transforms;Other / Manual,Input/output,Core dataframe transforms;Input/output;Metadata,False,ibis/workflow/scripts/summarise_coassemblies.py
AroneyS/binchicken,a2e785c11008c1693f1812dae173ca0323f9bf2d,AroneyS,2023-08-15T15:25:07+10:00,fix aviary_commands ignoring input coassembly name switch to polars add test,1,IO boundary;Core dataframe transforms,Input/output;Series,Core dataframe transforms;Input/output,False,ibis/workflow/scripts/aviary_commands.py
AroneyS/binchicken,99936ca8df011752af28bcafa451922a6c1cfb39,AroneyS,2023-05-12T09:31:43+10:00,switch no_genomes to polars,1,IO boundary;Aggregation & joins;Core dataframe transforms,General functions;Input/output,Core dataframe transforms;Input/output,False,ibis/workflow/scripts/no_genomes.py
AroneyS/binchicken,83c126954359efe0b6c3a339afe1d466ac675dd5,AroneyS,2023-03-07T14:48:41+10:00,switch collect_reference_bins to polars,2,IO boundary;Core dataframe transforms;Other / Manual,DataFrame;Input/output,Core dataframe transforms;Input/output;Metadata;Other polars API,False,ibis/workflow/scripts/collect_reference_bins.py;test/test_collect_reference_bins.py
AroneyS/binchicken,d90ed4166222bbba558a0d3015bbecf07e19ce1a,AroneyS,2023-03-07T14:08:53+10:00,switch ibis.py to polars,1,IO boundary;Core dataframe transforms,Input/output,Core dataframe transforms;Input/output,False,ibis/ibis.py
AroneyS/binchicken,92e35040b869ded08ec8660091f49024221a9ffb,AroneyS,2023-03-07T11:42:02+10:00,switch query_processing to polars,2,IO boundary;Core dataframe transforms,DataFrame;Input/output;Testing,Core dataframe transforms;Input/output;Other polars API,False,ibis/workflow/scripts/query_processing.py;test/test_query_processing.py
AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,AroneyS,2023-03-07T10:56:08+10:00,switch evaluate.py to polars,2,IO boundary;Aggregation & joins;Missing values;Core dataframe transforms,DataFrame;General functions;Input/output;Missing values;Testing,Core dataframe transforms;Input/output;Other polars API,False,ibis/workflow/scripts/evaluate.py;test/test_evaluate_script.py
AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,AroneyS,2023-03-06T16:36:34+10:00,finish switch target_elusive to polars,1,IO boundary;Core dataframe transforms;Types & schema;Other / Manual,DataFrame;Input/output;Series,Core dataframe transforms;Input/output;Metadata;Types & schema,False,ibis/workflow/scripts/target_elusive.py
