experiment,snippet_id,primary_layer,top_level_category,automatic_rule_category,final_primary_category,classification_method,downstream_failed_layers,downstream_causal_status,evidence,classification_payload,manual_review_rationale
exp2_reasoning_low_20260810,05afd878_evaluate_coassembly_edges,L1,execution failure,invalid target API usage,invalid target API usage,automatic rule confirmed,"L2,L3",L2/L3,❌ L1 smoke gen_evaluate_coassembly_edges: TypeError: DataFrame object does not support `Series` assignment by index,smoke : typeerror: dataframe object does not support `series` assignment by index,
exp2_reasoning_low_20260810,05afd878_evaluate_unbinned,L1,execution failure,invalid target API usage,invalid target API usage,automatic rule confirmed,"L2,L3",L2/L3,❌ L1 smoke gen_evaluate_unbinned: AttributeError: 'DataFrame' object has no attribute 'groupby',smoke : attributeerror: 'dataframe' object has no attribute 'groupby',
exp2_reasoning_low_20260810,1ec015da_to_rank,L2,standard behavioural mismatch,schema mismatch,schema mismatch,automatic rule confirmed,L3,L3,"❌ L2 equivalence to_rank: MISMATCH — column sets differ (before-only={'id'}, gen-only=set())","equivalence : mismatch — column sets differ (before-only={'id'}, gen-only=set())",
exp2_reasoning_low_20260810,1f8af3a3_target_elusive_sample_pairs,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_target_elusive_sample_pairs: InvalidOperationError: `explode` operation not supported for dtype `str`,smoke : invalidoperationerror: `explode` operation not supported for dtype `str`,Generated code explodes a String column and fails before output; paired oracle succeeds.
exp2_reasoning_low_20260810,1f8af3a3_target_elusive_sparse_edges,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_target_elusive_sparse_edges: InvalidOperationError: attempted list to_struct on non-list dtype: str,smoke : invalidoperationerror: attempted list to_struct on non-list dtype: str,A list operation is applied to a String aggregation; standard and duplicate-edge oracle calls succeed.
exp2_reasoning_low_20260810,1f8af3a3_target_elusive_unbinned,L2,standard behavioural mismatch,return-type mismatch,return-type mismatch,automatic rule confirmed,L3,L3,"❌ L2 equivalence target_elusive_unbinned: MISMATCH — one side returned DataFrame, other did not","equivalence : mismatch — one side returned dataframe, other did not",
exp2_reasoning_low_20260810,287a28d8_col_matches,L1,execution failure,invalid target API usage,invalid target API usage,automatic rule confirmed,"L2,L3",L2/L3,❌ L1 smoke gen_col_matches: TypeError: search() got an unexpected keyword argument 'case',smoke : typeerror: search() got an unexpected keyword argument 'case',
exp2_reasoning_low_20260810,29097c0c_train_merge_concat,L1,execution failure,type or runtime error,type or runtime error,automatic rule confirmed,L2,L2,❌ L1 smoke gen_train_merge_concat: ShapeError: unable to append to a DataFrame of width 4 with a DataFrame of width 3,smoke : shapeerror: unable to append to a dataframe of width 4 with a dataframe of width 3,
exp2_reasoning_low_20260810,3c49cad1_geosphere_collect,L2,standard behavioural mismatch,manual review required,index or datetime contract mismatch,manual review override,L3,L3,"❌ L2 equivalence geosphere_collect: MISMATCH — DataFrames are different (value mismatch for column ""date"")","equivalence : mismatch — dataframes are different (value mismatch for column ""date"")",Generated date remains String while pandas returns datetime on both standard and missing-value inputs.
exp2_reasoning_low_20260810,3c49cad1_mosmix_access_dataframe,L1,execution failure,import or unresolved-reference error,import or unresolved-reference error,automatic rule confirmed,"L2,L3",L2/L3,❌ L1 smoke gen_mosmix_access_dataframe: ImportError: cannot import name 'DatetimeIndex' from 'polars' (/opt/anaconda3/envs/my_nlp_env/lib/python3.12/site-packages/polars/__init__.py),smoke : importerror: cannot import name 'datetimeindex' from 'polars' (/opt/anaconda3/envs/my_nlp_env/lib/python3.12/site-packages/polars/__init__.py),
exp2_reasoning_low_20260810,3c49cad1_mosmix_access_datetime,L3,edge-case failure,null- or missing-value handling,empty-input handling,manual review override,,none,"❌ L3 edge mosmix_access_datetime empty timesteps: SchemaError: invalid series dtype: expected `String`, got `null` for series with name ``","edge empty timesteps: schemaerror: invalid series dtype: expected `string`, got `null` for series with name ``",Standard datetime values match; empty input creates a Null Series on which generated .str fails.
exp2_reasoning_low_20260810,3c49cad1_radar_index_radolan,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,"❌ L1 smoke gen_radar_index_radolan: InvalidOperationError: cannot cast List type (inner: 'String', to: 'String')","smoke : invalidoperationerror: cannot cast list type (inner: 'string', to: 'string')",str.ends_with receives a tuple unsupported by Polars; paired pandas calls succeed.
