experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
baseline,05afd878_evaluate_coassembly_edges,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_evaluate_coassembly_edges: ColumnNotFoundError: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]","smoke : columnnotfounderror: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]"
baseline,05afd878_evaluate_combined,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence evaluate_combined: MISMATCH — column sets differ (before-only=set(), gen-only={'geneold', 'coassemblyold', 'sequenceold'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'geneold', 'coassemblyold', 'sequenceold'})"
baseline,05afd878_evaluate_nontarget,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_evaluate_nontarget: ShapeError: unable to append to a DataFrame of width 5 with a DataFrame of width 7,smoke : shapeerror: unable to append to a dataframe of width 5 with a dataframe of width 7
baseline,0ffdf231_noaa_ghcn_inventory,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_noaa_ghcn_inventory: ValueError: separator=""\s+"" should be a single byte character, but is 3 bytes long","smoke : valueerror: separator=""\s+"" should be a single byte character, but is 3 bytes long"
baseline,0ffdf231_noaa_ghcn_stations,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_noaa_ghcn_stations: ValueError: separator=""\s+"" should be a single byte character, but is 3 bytes long","smoke : valueerror: separator=""\s+"" should be a single byte character, but is 3 bytes long"
baseline,1f8af3a3_target_elusive_sample_pairs,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_target_elusive_sample_pairs: ValueError: must specify `on` OR `left_on` and `right_on`,smoke : valueerror: must specify `on` or `left_on` and `right_on`
baseline,1f8af3a3_target_elusive_unbinned,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",L3,causal review required,❌ L2 equivalence target_elusive_unbinned: MISMATCH — DataFrames are different (height (row count) mismatch),equivalence : mismatch — dataframes are different (height (row count) mismatch)
baseline,287a28d8_col_matches,L3,edge-case failure,ordering stability,,none,"❌ L3 edge col_matches kwargs not mutated: MISMATCH — before_unchanged=True, gen_unchanged=False, gen_kwargs={}","edge kwargs not mutated: mismatch — before_unchanged=true, gen_unchanged=false, gen_kwargs={}"
baseline,29097c0c_to_dataset_read_wrap,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence to_dataset_read_wrap: MISMATCH — DataFrames are different (value mismatch for column ""group"")","equivalence : mismatch — dataframes are different (value mismatch for column ""group"")"
baseline,29097c0c_train_iloc_filter,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_train_iloc_filter: AttributeError: 'DataFrame' object has no attribute 'take',smoke : attributeerror: 'dataframe' object has no attribute 'take'
baseline,29097c0c_train_merge_concat,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence train_merge_concat: MISMATCH — column sets differ (before-only=set(), gen-only={'index'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'index'})"
baseline,325e7c2b_dates_pol_interval,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge dates_pol_interval mismatched lengths: MISMATCH exception — before=None, gen=TypeError","edge mismatched lengths: mismatch exception — before=none, gen=typeerror"
baseline,3c49cad1_geosphere_all,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_geosphere_all: TypeError: unhashable type: 'dict',smoke : typeerror: unhashable type: 'dict'
baseline,3c49cad1_radar_index_radolan,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_radar_index_radolan: InvalidOperationError: cannot cast List type (inner: 'String', to: 'String')","smoke : invalidoperationerror: cannot cast list type (inner: 'string', to: 'string')"
baseline,3c49cad1_timeseries_gain,L2,standard behavioural mismatch,return-type mismatch,L3,causal review required,"❌ L2 equivalence timeseries_gain: MISMATCH — before_return=None, gen_return=0.0","equivalence : mismatch — before_return=none, gen_return=0.0"
