snippet_id,gold_detected_pandas_apis
05afd878_evaluate_coassembly_edges,"pandas.DataFrame.drop_duplicates,pandas.DataFrame.explode,pandas.DataFrame.join,pandas.DataFrame.rename,pandas.DataFrame.reset_index,pandas.DataFrame.set_index,pandas.Series.apply,pandas.DataFrame.copy"
05afd878_evaluate_combined,"pandas.DataFrame.join,pandas.DataFrame.reset_index,pandas.Series.combine,pandas.Series.isin,pandas.Series.notnull,pandas.isna, pandas.DataFrame.set_index, pandas.DataFrame.drop"
05afd878_evaluate_nontarget,"pandas.DataFrame.drop_duplicates,pandas.DataFrame.dropna,pandas.DataFrame.join,pandas.DataFrame.set_index,pandas.Series.apply,pandas.concat"
05afd878_evaluate_unbinned,"pandas.DataFrame.groupby,
DataFrameGroupBy.first,
pandas.DataFrame.reset_index,
pandas.DataFrame.dropna,
pandas.Series.astype"
1f8af3a3_target_elusive_sample_pairs,"pandas.DataFrame.groupby,
DataFrameGroupBy.apply,
pandas.Series.to_frame,
pandas.DataFrame.explode,
pandas.DataFrame.dropna,
pandas.DataFrame.join,
pandas.DataFrame.reset_index,
pandas.Series.apply"
1f8af3a3_target_elusive_sparse_edges,"pandas.DataFrame.groupby,
SeriesGroupBy.agg,
pandas.DataFrame.reset_index,
pandas.DataFrame.rename"
1f8af3a3_target_elusive_unbinned,"pandas.DataFrame.drop,
pandas.DataFrame.groupby,
DataFrameGroupBy.ngroup,
pandas.Series.astype,
SeriesGroupBy.first"
83c12695_collect_filter,"pandas.Series.str.replace,
pandas.DataFrame.__getitem__"
83c12695_collect_pivot,"pandas.Series.str.split,
pandas.DataFrame.explode,
pandas.Series.str.replace,
pandas.DataFrame.groupby,
SeriesGroupBy.sum,
pandas.Series.reset_index,
pandas.DataFrame.pivot,
pandas.DataFrame.reset_index,
pandas.DataFrame.melt,
pandas.DataFrame.fillna,
SeriesGroupBy.apply,
pandas.Series.to_list"
92e35040_query_appraised,"detected_pandas_apis =
pandas.DataFrame.rename,
pandas.DataFrame.drop,
pandas.DataFrame.set_index,
pandas.DataFrame.join,
pandas.DataFrame.reset_index,
pandas.DataFrame.groupby,
SeriesGroupBy.agg,
pandas.Series.reset_index"
92e35040_query_binned_unbinned,"pandas.DataFrame,pandas.DataFrame.drop,pandas.DataFrame.join,pandas.DataFrame.reset_index,pandas.DataFrame.set_index,pandas.Series.fillna"
92e35040_query_write_csv,pandas.DataFrame.to_csv
a841955a_summarise_select,
