batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
1,05afd878_evaluate_coassembly_edges,evaluate_coassembly_edges,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,05afd878_evaluate_combined,evaluate_combined,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,05afd878_evaluate_nontarget,evaluate_nontarget,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,05afd878_evaluate_unbinned,evaluate_unbinned,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,1e52b4e7_concat_to_frame,concat_to_frame,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-input check passed but was labelled L2,migration passed available checks; L3 marker needs correction
1,1f8af3a3_target_elusive_sample_pairs,target_elusive_sample_pairs,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,singleton edge check passed but was labelled L2,migration passed available checks; L3 marker needs correction
1,1f8af3a3_target_elusive_sparse_edges,target_elusive_sparse_edges,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,sorted-aggregate edge check passed but marker begins with L2,migration passed available checks; L3 marker needs correction
1,1f8af3a3_target_elusive_unbinned,target_elusive_unbinned,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,missing-column edge check passed but was labelled L2,migration passed available checks; L3 marker needs correction
1,774f17e7_mane_mappings_filter_symbol,mane_mappings_filter_symbol,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,774f17e7_mane_mappings_genomic_filter,mane_mappings_genomic_filter,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,incomplete edge-test coverage,L1 and L2 pass; no target-specific L3 evidence is present.,migration passed L1/L2; L3 coverage incomplete
1,774f17e7_mane_mappings_isin,mane_mappings_isin,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,774f17e7_mane_mappings_load,mane_mappings_load,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,incomplete edge-test coverage,L1 and L2 pass; no target-specific L3 evidence is present.,migration passed L1/L2; L3 coverage incomplete
1,774f17e7_mane_transcript_filter_row,mane_transcript_filter_row,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,774f17e7_mane_transcript_parse_ac,mane_transcript_parse_ac,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,incomplete edge-test coverage,L1 and L2 pass; no target-specific L3 evidence is present.,migration passed L1/L2; L3 coverage incomplete
1,774f17e7_uta_database_construct,uta_database_construct,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,83c12695_collect_filter,collect_filter,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,incomplete edge-test coverage,L1 and L2 pass; no target-specific L3 evidence is present.,migration passed L1/L2; L3 coverage incomplete
1,83c12695_collect_pivot,collect_pivot,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,type or runtime error,L2 cascade; L3 independent edge-case failure,no,Generated code raises ComputeError because Series.mean receives unsupported axis; oracle succeeds. Empty input separately fails group_by/apply.,genuine migration failure
1,92e35040_query_appraised,query_appraised,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code is syntactically invalid: '(' was never closed; oracle succeeds.,genuine migration failure
1,92e35040_query_binned_unbinned,query_binned_unbinned,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-appraised edge check passed but was labelled L2,migration passed available checks; L3 marker needs correction
1,92e35040_query_write_csv,query_write_csv,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,a841955a_summarise_select,summarise_select,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-input edge check passed but was labelled L2,migration passed available checks; L3 marker needs correction
1,a841955a_summarise_unmapped,summarise_unmapped,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,b36214f9_preprocess_attrs_registry,preprocess_attrs_registry,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,L2 skipped because both sides return a non-DataFrame callable; target-specific L3 checks pass.,no observed migration failure; L2 comparison unsupported
1,b36214f9_preprocess_columns_tolist,preprocess_columns_tolist,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,L2 skipped because both sides return a non-DataFrame callable; target-specific L3 checks pass.,no observed migration failure; L2 comparison unsupported
1,b36214f9_preprocess_shape_rename,preprocess_shape_rename,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,L2 skipped because both sides return a non-DataFrame callable; target-specific L3 checks pass.,no observed migration failure; L2 comparison unsupported
1,b36214f9_session_dropna_unique,session_dropna_unique,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-input edge check passed but marker begins with L2,migration passed available checks; L3 marker needs correction
1,b36214f9_session_read_csv,session_read_csv,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,d90ed416_ibis_filter,ibis_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,d90ed416_ibis_isin,ibis_isin,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, and reported comparisons pass.",validated pass
1,d90ed416_ibis_join,ibis_join,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 cascade; L3 passes independently,no,Generated map_rows call cannot determine its output type; oracle succeeds.,genuine migration failure
