experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
baseline,05afd878_evaluate_coassembly_edges,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_evaluate_coassembly_edges: ColumnNotFoundError: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]","smoke : columnnotfounderror: unable to find column ""sample1""; valid columns: [""sample"", ""coassembly""]"
baseline,05afd878_evaluate_nontarget,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_evaluate_nontarget: ShapeError: unable to append to a DataFrame of width 5 with a DataFrame of width 7,smoke : shapeerror: unable to append to a dataframe of width 5 with a dataframe of width 7
baseline,0ffdf231_noaa_ghcn_inventory,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_noaa_ghcn_inventory: ValueError: separator=""\s+"" should be a single byte character, but is 3 bytes long","smoke : valueerror: separator=""\s+"" should be a single byte character, but is 3 bytes long"
baseline,0ffdf231_noaa_ghcn_stations,L1,execution failure,invalid target API usage,"L2,L3",causal review required,"❌ L1 smoke gen_noaa_ghcn_stations: ValueError: separator=""\s+"" should be a single byte character, but is 3 bytes long","smoke : valueerror: separator=""\s+"" should be a single byte character, but is 3 bytes long"
baseline,1f8af3a3_target_elusive_sample_pairs,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_target_elusive_sample_pairs: ValueError: must specify `on` OR `left_on` and `right_on`,smoke : valueerror: must specify `on` or `left_on` and `right_on`
baseline,29097c0c_train_iloc_filter,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_train_iloc_filter: AttributeError: 'DataFrame' object has no attribute 'take',smoke : attributeerror: 'dataframe' object has no attribute 'take'
baseline,3c49cad1_geosphere_all,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_geosphere_all: TypeError: unhashable type: 'dict',smoke : typeerror: unhashable type: 'dict'
baseline,3c49cad1_radar_index_radolan,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_radar_index_radolan: InvalidOperationError: cannot cast List type (inner: 'String', to: 'String')","smoke : invalidoperationerror: cannot cast list type (inner: 'string', to: 'string')"
baseline,4bb33aa8_trx_stats_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_trx_stats_isin: SyntaxError: generated code for trx_stats_isin is not syntactically valid after wrapper normalization: trailing line continuation,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: trailing line continuation
baseline,6f1c2684_datasets_read_csv,L1,execution failure,lazy/eager misuse,"L2,L3",causal review required,❌ L1 smoke gen_datasets_read_csv: AttributeError: 'Expr' object has no attribute 'columns',smoke : attributeerror: 'expr' object has no attribute 'columns'
baseline,73a39d90_metrics_groupby_agg,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_metrics_groupby_agg: InvalidOperationError: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]","smoke : invalidoperationerror: conversion from `str` to `f64` failed in column 'condition' for 2 out of 2 values: [""plaintext"", ""mixed""]"
baseline,8017f91b_eval_hybrid_concat_sort,L1,execution failure,invalid target API usage,"L2,L3",causal review required,❌ L1 smoke gen_eval_hybrid_concat_sort: DuplicateError: column with name 'index' has more than one occurrence,smoke : duplicateerror: column with name 'index' has more than one occurrence
baseline,83c12695_collect_pivot,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_collect_pivot: ColumnNotFoundError: unable to find column ""found_in""; valid columns: [""gene"", ""variable"", ""value""]","smoke : columnnotfounderror: unable to find column ""found_in""; valid columns: [""gene"", ""variable"", ""value""]"
baseline,8bb7bc3a_expose_isin,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_expose_isin: SyntaxError: generated code for expose_isin is not syntactically valid after wrapper normalization: trailing line continuation,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: trailing line continuation
baseline,8c71f3c7_attr_getter_unseen_frame,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_attr_getter_unseen_frame: TypeError: unexpected value while building Series of type Int64; found value of type Float64: 0.9,smoke : typeerror: unexpected value while building series of type int64; found value of type float64: 0.9
baseline,a39f4527_expose_trx_join_filter,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_expose_trx_join_filter: InvalidOperationError: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)","smoke : invalidoperationerror: cannot compare 'date/datetime/time' to a string value (create native python { 'date', 'datetime', 'time' } or compare to a temporal column)"
baseline,a39f4527_expose_trx_pivot,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_expose_trx_pivot: NotImplementedError: snippet has unfixable syntax,smoke : notimplementederror: snippet has unfixable syntax
