snippet_id,exclude_label,parse_success,gold_api_count,detected_api_count,tp_count,fp_count,fn_count,precision,recall,f1,exact_match,match_status,gold_detected_pandas_apis,latest_ast_detected_pandas_apis,true_positives,false_positives,false_negatives,unknown_methods
05afd878_evaluate_coassembly_edges,,True,8,8,8,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.copy
pandas.DataFrame.drop_duplicates
pandas.DataFrame.explode
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.apply","pandas.DataFrame.copy
pandas.DataFrame.drop_duplicates
pandas.DataFrame.explode
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.apply","pandas.DataFrame.copy
pandas.DataFrame.drop_duplicates
pandas.DataFrame.explode
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.apply",,,
05afd878_evaluate_combined,,True,8,8,8,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.combine
pandas.Series.isin
pandas.Series.notnull
pandas.isna","pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.combine
pandas.Series.isin
pandas.Series.notnull
pandas.isna","pandas.DataFrame.drop
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.combine
pandas.Series.isin
pandas.Series.notnull
pandas.isna",,,
05afd878_evaluate_nontarget,,True,6,6,6,0,0,1.0,1.0,1.0,yes,exact,"pandas.DataFrame.drop_duplicates
pandas.DataFrame.dropna
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.Series.apply
pandas.concat","pandas.DataFrame.drop_duplicates
pandas.DataFrame.dropna
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.Series.apply
pandas.concat","pandas.DataFrame.drop_duplicates
pandas.DataFrame.dropna
pandas.DataFrame.join
pandas.DataFrame.set_index
pandas.Series.apply
pandas.concat",,,
05afd878_evaluate_unbinned,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"DataFrameGroupBy.first
pandas.DataFrame.dropna
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.Series.astype","DataFrameGroupBy.first
pandas.DataFrame.dropna
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.Series.astype","DataFrameGroupBy.first
pandas.DataFrame.dropna
pandas.DataFrame.groupby
pandas.DataFrame.reset_index
pandas.Series.astype",,,
1f8af3a3_target_elusive_sample_pairs,,True,8,8,8,0,0,1.0,1.0,1.0,yes,exact,"DataFrameGroupBy.apply
pandas.DataFrame.dropna
pandas.DataFrame.explode
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.to_frame","DataFrameGroupBy.apply
pandas.DataFrame.dropna
pandas.DataFrame.explode
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.to_frame","DataFrameGroupBy.apply
pandas.DataFrame.dropna
pandas.DataFrame.explode
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.reset_index
pandas.Series.apply
pandas.Series.to_frame",,,
1f8af3a3_target_elusive_sparse_edges,,True,4,4,4,0,0,1.0,1.0,1.0,yes,exact,"SeriesGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.rename
pandas.DataFrame.reset_index","SeriesGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.rename
pandas.DataFrame.reset_index","SeriesGroupBy.agg
pandas.DataFrame.groupby
pandas.DataFrame.rename
pandas.DataFrame.reset_index",,,
1f8af3a3_target_elusive_unbinned,,True,5,5,5,0,0,1.0,1.0,1.0,yes,exact,"DataFrameGroupBy.ngroup
SeriesGroupBy.first
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.Series.astype","DataFrameGroupBy.ngroup
SeriesGroupBy.first
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.Series.astype","DataFrameGroupBy.ngroup
SeriesGroupBy.first
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.Series.astype",,,
83c12695_collect_filter,,True,2,0,0,0,2,0.0,0.0,0.0,no,false-negative only,"pandas.DataFrame.__getitem__
pandas.Series.str.replace",,,,"pandas.DataFrame.__getitem__
pandas.Series.str.replace",
83c12695_collect_pivot,,True,12,8,8,0,4,1.0,0.666667,0.8,no,partial,"SeriesGroupBy.apply
SeriesGroupBy.sum
pandas.DataFrame.explode
pandas.DataFrame.fillna
pandas.DataFrame.groupby
pandas.DataFrame.melt
pandas.DataFrame.pivot
pandas.DataFrame.reset_index
pandas.Series.reset_index
pandas.Series.str.replace
pandas.Series.str.split
pandas.Series.to_list","SeriesGroupBy.apply
SeriesGroupBy.sum
pandas.DataFrame.fillna
pandas.DataFrame.groupby
pandas.DataFrame.melt
pandas.DataFrame.pivot
pandas.DataFrame.reset_index
pandas.Series.to_list","SeriesGroupBy.apply
SeriesGroupBy.sum
pandas.DataFrame.fillna
pandas.DataFrame.groupby
pandas.DataFrame.melt
pandas.DataFrame.pivot
pandas.DataFrame.reset_index
pandas.Series.to_list",,"pandas.DataFrame.explode
pandas.Series.reset_index
pandas.Series.str.replace
pandas.Series.str.split",
92e35040_query_appraised,,True,8,7,7,0,1,1.0,0.875,0.933333,no,partial,"SeriesGroupBy.agg
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index
pandas.Series.reset_index","SeriesGroupBy.agg
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index","SeriesGroupBy.agg
pandas.DataFrame.drop
pandas.DataFrame.groupby
pandas.DataFrame.join
pandas.DataFrame.rename
pandas.DataFrame.reset_index
pandas.DataFrame.set_index",,pandas.Series.reset_index,
