snippet_id,pandas_label_all,polars_label_all,macro_all,migration_pattern_note
YuriNakayama__cate__7e55b00b__cate__dataset.py__7e55b00b_sample_empty_df,"DataFrame, Core dataframe transforms","Core dataframe transforms, Types & schema","Core dataframe transforms, Types / schema / temporal",Replace DataFrame construction and sample with Polars schema-preserving empty construction and sample parameters.
biodatageeks__polars-bio__99aff9e0__polars_bio__range_op_io.py__99aff9e0_rename_columns_empty_df,DataFrame,"Core dataframe transforms, Types & schema",Types / schema / temporal,Replace an empty pandas DataFrame used for column preservation with an empty Polars DataFrame built from the converted schema.
earthobservations__wetterdienst__0ffdf231__wetterdienst__provider__noaa__ghcn__api.py__0ffdf231_noaa_ghcn_stations,Input/output,"Input/output, Core dataframe transforms",IO boundary,Replace pandas fixed-width input with Polars CSV input followed by explicit fixed-width column extraction.
earthobservations__wetterdienst__3c49cad1__wetterdienst__provider__geosphere__observation__api.py__3c49cad1_geosphere_all,"Input/output, DataFrame","Input/output, Core dataframe transforms, Lazy execution, Types & schema","IO boundary, Core dataframe transforms, Lazy execution / evaluation strategy, Types / schema / temporal","Replace pandas CSV loading, column deletion, and renaming with a lazy Polars pipeline and explicit datetime parsing."
hanjinliu__acryo__e5f9fa83__acryo__molecules.py__acryo_molecules_to_dataframe_migration,"DataFrame, General functions",Core dataframe transforms,"Core dataframe transforms, Aggregation & combine",Replace pandas DataFrame construction and column-wise concat with Polars DataFrame construction and with_columns.
hanjinliu__acryo__e5f9fa83__acryo__molecules.py__acryo_molecules_translation_copy_migration,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas-style feature copying with construction of a new Polars DataFrame.
joel-beck__readnext__8017f91b__readnext__evaluation__metrics__pairwise_metric.py__8017f91b_pairwise_loc_filter,"DataFrame, Index objects",Core dataframe transforms,"Index / row semantics / pandas-specific behavior, Core dataframe transforms","Replace label-based .loc scalar access with explicit Polars row filtering, selection, and item extraction."
joel-beck__readnext__8017f91b__readnext__evaluation__scoring__hybrid_score.py__8017f91b_hybrid_score_concat,"Series, General functions",Core dataframe transforms,Aggregation & combine,Replace Series-to-DataFrame conversion followed by pandas concat with Polars concat.
joel-beck__readnext__8017f91b__readnext__evaluation__scoring__hybrid_score.py__8017f91b_hybrid_score_frame,"DataFrame, Index objects",Core dataframe transforms,"Core dataframe transforms, Index / row semantics / pandas-specific behavior",Replace a single-row pandas DataFrame with an indexed row by a Polars DataFrame without a row index.
joel-beck__readnext__8017f91b__readnext__evaluation__scoring__precompute_scores.py__8017f91b_precompute_cross_join,"DataFrame, Index objects, UDF / apply / map","Core dataframe transforms, DataFrame/GroupBy","Index / row semantics / pandas-specific behavior, UDF / custom logic rewrite, Aggregation & combine","Replace index-driven apply and set_index scoring with explicit ID combinations, vectorised scoring, sorting, and grouped top-n selection."
joel-beck__readnext__8017f91b__readnext__evaluation__scoring__precompute_scores.py__8017f91b_precompute_id_cross_frame,"DataFrame, Index objects",Core dataframe transforms,"Index / row semantics / pandas-specific behavior, Aggregation & combine",Replace iteration over a pandas index with explicit identifier columns and a Polars cross join.
joel-beck__readnext__8017f91b__readnext__inference__input_converter.py__8017f91b_input_loc_col,"DataFrame, Index objects",Core dataframe transforms,"Index / row semantics / pandas-specific behavior, Core dataframe transforms","Replace label-based .loc access with Polars filter, select, and item."
joel-beck__readnext__8017f91b__readnext__inference__input_converter.py__8017f91b_input_loc_index_item,"DataFrame, Index objects",Core dataframe transforms,"Index / row semantics / pandas-specific behavior, Core dataframe transforms",Replace conditional pandas row selection followed by index extraction with filtering and selection of an explicit identifier column.
joel-beck__readnext__8017f91b__readnext__modeling__language_models__embedder.py__8017f91b_embedder_frame,"Series, Index objects",Core dataframe transforms,"Index / row semantics / pandas-specific behavior, Core dataframe transforms",Replace construction of an indexed pandas Series/DataFrame with a Polars column added to an existing token frame.
joel-beck__readnext__8c71f3c7__readnext__evaluation__scoring__hybrid_score.py__readnext_hybrid_score_to_frame_migration,"DataFrame, Index objects",Core dataframe transforms,"Core dataframe transforms, Index / row semantics / pandas-specific behavior",Replace a single-row indexed pandas DataFrame with a Polars DataFrame whose row position is implicit.
joel-beck__readnext__8c71f3c7__readnext__evaluation__scoring__hybrid_scorer.py__8c71f3c7_hybrid_scorer_language_index,"Index objects, pandas typing aliases","Core dataframe transforms, Types & schema","Index / row semantics / pandas-specific behavior, Types / schema / temporal",Replace a pandas Index type and implicit index access with a Polars Series and an explicit document_id column.
mattheaphy__actxpspy__db5fc12b__actxps__expose.py__db5fc12b_expose_rename,DataFrame,Core dataframe transforms,Core dataframe transforms,Translate repeated pandas column-renaming operations and direct column-name assignment to their Polars equivalents.
visivo-io__visivo__79e5f0d8__visivo__models__sources__sqlalchemy_source.py__visivo_sqlalchemy_read_sql,DataFrame,"Core dataframe transforms, Types & schema","IO boundary, Types / schema / temporal",Replace pandas construction from SQL rows with Polars construction from a column dictionary and an explicit empty-result schema.
xavctn__img2table__beda90bd__src__img2table__ocr__aws_textract.py__img2table_aws_textract_concat_lazy_migration,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__beda90bd__src__img2table__ocr__aws_textract.py__img2table_aws_textract_list_dfs_migration,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace mapping dictionaries through the pandas DataFrame constructor with pl.from_dicts.
xavctn__img2table__beda90bd__src__img2table__ocr__azure.py__azure_ocr_concat_lazy,General functions,"Core dataframe transforms, Lazy execution","Aggregation & combine, Lazy execution / evaluation strategy",Replace pandas concat with Polars concat and convert the combined result to a LazyFrame.
xavctn__img2table__beda90bd__src__img2table__ocr__azure.py__azure_ocr_from_dicts,DataFrame,Core dataframe transforms,Core dataframe transforms,Replace pandas DataFrame construction from word dictionaries with pl.from_dicts.
