experiment,snippet_id,primary_layer,top_level_category,automatic_rule_category,final_primary_category,classification_method,downstream_failed_layers,downstream_causal_status,evidence,classification_payload,manual_review_rationale
exp2_reasoning_low_20260810,1f8af3a3_target_elusive_sample_pairs,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_target_elusive_sample_pairs: InvalidOperationError: `explode` operation not supported for dtype `str`,smoke : invalidoperationerror: `explode` operation not supported for dtype `str`,Generated code explodes a String column and fails before output; paired oracle succeeds.
exp2_reasoning_low_20260810,1f8af3a3_target_elusive_sparse_edges,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_target_elusive_sparse_edges: InvalidOperationError: attempted list to_struct on non-list dtype: str,smoke : invalidoperationerror: attempted list to_struct on non-list dtype: str,A list operation is applied to a String aggregation; standard and duplicate-edge oracle calls succeed.
exp2_reasoning_low_20260810,3c49cad1_geosphere_collect,L2,standard behavioural mismatch,manual review required,index or datetime contract mismatch,manual review override,L3,L3,"❌ L2 equivalence geosphere_collect: MISMATCH — DataFrames are different (value mismatch for column ""date"")","equivalence : mismatch — dataframes are different (value mismatch for column ""date"")",Generated date remains String while pandas returns datetime on both standard and missing-value inputs.
exp2_reasoning_low_20260810,3c49cad1_mosmix_access_datetime,L3,edge-case failure,null- or missing-value handling,empty-input handling,manual review override,,none,"❌ L3 edge mosmix_access_datetime empty timesteps: SchemaError: invalid series dtype: expected `String`, got `null` for series with name ``","edge empty timesteps: schemaerror: invalid series dtype: expected `string`, got `null` for series with name ``",Standard datetime values match; empty input creates a Null Series on which generated .str fails.
exp2_reasoning_low_20260810,3c49cad1_radar_index_radolan,L1,execution failure,type or runtime error,invalid target API usage,manual review override,"L2,L3",L2/L3,"❌ L1 smoke gen_radar_index_radolan: InvalidOperationError: cannot cast List type (inner: 'String', to: 'String')","smoke : invalidoperationerror: cannot cast list type (inner: 'string', to: 'string')",str.ends_with receives a tuple unsupported by Polars; paired pandas calls succeed.
exp2_reasoning_low_20260810,8017f91b_input_loc_index_item,L2,standard behavioural mismatch,return-type mismatch,missing one or more steps,manual review override,,none,"❌ L2 equivalence input_loc_index_item: MISMATCH — before=101, gen=None","equivalence : mismatch — before=101, gen=none",Generated code computes item() but does not return it; standard result is None instead of 101.
exp2_reasoning_low_20260810,8017f91b_pairwise_loc_filter,L1,execution failure,type or runtime error,invalid target API usage,manual review override,L2,L2,"❌ L1 smoke gen_pairwise_loc_filter: ColumnNotFoundError: unable to find column ""index""; valid columns: [""document_id"", ""title""]","smoke : columnnotfounderror: unable to find column ""index""; valid columns: [""document_id"", ""title""]",Generated code filters on absent index instead of document_id; missing-id edge rejects on both sides.
exp2_reasoning_low_20260810,83c12695_collect_pivot,L1,execution failure,lazy/eager misuse,invalid target API usage,manual review override,"L2,L3",L2/L3,❌ L1 smoke gen_collect_pivot: AttributeError: 'Expr' object has no attribute 'map_groups',smoke : attributeerror: 'expr' object has no attribute 'map_groups',Generated expression calls nonexistent Expr.map_groups; paired oracle returns a set.
exp2_reasoning_low_20260810,8c71f3c7_hybrid_scorer_citation_index,L2,standard behavioural mismatch,manual review required,index or datetime contract mismatch,manual review override,,none,"❌ L2 equivalence hybrid_scorer_citation_index: MISMATCH — before=[101, 205, 309], generated=[0, 1, 2]","equivalence : mismatch — before=[101, 205, 309], generated=[0, 1, 2]","Pandas preserves candidate IDs [101,205,309]; generated code substitutes row positions [0,1,2]."
exp2_reasoning_low_20260810,8c71f3c7_hybrid_scorer_language_index,L2,standard behavioural mismatch,manual review required,index or datetime contract mismatch,manual review override,,none,"❌ L2 equivalence hybrid_scorer_language_index: MISMATCH — before=[101, 205, 309], generated=[0, 1, 2]","equivalence : mismatch — before=[101, 205, 309], generated=[0, 1, 2]","Pandas preserves candidate IDs [101,205,309]; generated code substitutes row positions [0,1,2]."
exp2_reasoning_low_20260810,8c71f3c7_pairwise_loc_colname,L2,standard behavioural mismatch,manual review required,return-type mismatch,manual review override,L3,L3,"❌ L2 equivalence pairwise_loc_colname captured locals: MISMATCH — before=('paper_A', 'paper_B'), gen=(['paper_A'], ['paper_B'])","equivalence captured locals: mismatch — before=('paper_a', 'paper_b'), gen=(['paper_a'], ['paper_b'])",Standard pandas selections are scalars while generated selections are one-element lists; generated empty selection also fails to reject missing IDs.
