ordinal,snippet_id,shared_non_generated_cells_equal,execution_outputs_clear,primary_generated_wrapper_present_all_conditions,has_l1_marker,has_l2_marker,has_l3_marker
1,05afd878_evaluate_coassembly_edges,yes,yes,yes,yes,yes,yes
2,05afd878_evaluate_combined,yes,yes,yes,yes,yes,yes
3,05afd878_evaluate_nontarget,yes,yes,yes,yes,yes,yes
4,05afd878_evaluate_unbinned,yes,yes,yes,yes,yes,yes
5,0ffdf231_noaa_ghcn_inventory,yes,yes,yes,yes,yes,yes
6,0ffdf231_noaa_ghcn_stations,yes,yes,yes,yes,yes,yes
7,142b5bcb_tools_relocate,yes,yes,yes,yes,yes,yes
8,16645382_exp_stats_col_assign,yes,yes,yes,yes,yes,yes
9,16645382_exp_stats_rename,yes,yes,yes,yes,yes,yes
10,1e52b4e7_concat_to_frame,yes,yes,yes,yes,yes,yes
11,1ec015da_to_rank,yes,yes,yes,yes,yes,yes
12,1f8af3a3_target_elusive_sample_pairs,yes,yes,yes,yes,yes,yes
13,1f8af3a3_target_elusive_sparse_edges,yes,yes,yes,yes,yes,yes
14,1f8af3a3_target_elusive_unbinned,yes,yes,yes,yes,yes,yes
15,287a28d8_col_ends_with,yes,yes,yes,yes,yes,yes
16,287a28d8_col_matches,yes,yes,yes,yes,yes,yes
17,287a28d8_col_starts_with,yes,yes,yes,yes,yes,yes
18,29097c0c_to_dataset_read_wrap,yes,yes,yes,yes,yes,yes
19,29097c0c_train_iloc_filter,yes,yes,yes,yes,yes,yes
20,29097c0c_train_merge_concat,yes,yes,yes,yes,yes,yes
21,325e7c2b_dates_pol_interval,yes,yes,yes,yes,yes,yes
22,3c49cad1_bench_interp_cols,yes,yes,yes,yes,yes,yes
23,3c49cad1_bench_interp_filter,yes,yes,yes,yes,yes,yes
24,3c49cad1_bench_interp_time_regular,yes,yes,yes,yes,yes,yes
25,3c49cad1_bench_interp_time_rmse,yes,yes,yes,yes,yes,yes
26,3c49cad1_bench_precip_pct,yes,yes,yes,yes,yes,yes
27,3c49cad1_bench_precip_regular,yes,yes,yes,yes,yes,yes
28,3c49cad1_geosphere_all,yes,yes,yes,yes,yes,yes
29,3c49cad1_geosphere_collect,yes,yes,yes,yes,yes,yes
30,3c49cad1_mosmix_access_dataframe,yes,yes,yes,yes,yes,yes
31,3c49cad1_mosmix_access_datetime,yes,yes,yes,yes,yes,yes
32,3c49cad1_radar_index_radolan,yes,yes,yes,yes,yes,yes
33,3c49cad1_radar_index_sweeps,yes,yes,yes,yes,yes,yes
34,3c49cad1_radar_sites_cols,yes,yes,yes,yes,yes,yes
35,3c49cad1_radar_sites_dicts,yes,yes,yes,yes,yes,yes
36,3c49cad1_timeseries_extract,yes,yes,yes,yes,yes,yes
37,3c49cad1_timeseries_gain,yes,yes,yes,yes,yes,yes
38,4bb33aa8_trx_stats_isin,yes,yes,yes,yes,yes,yes
39,6f1c2684_datasets_read_csv,yes,yes,yes,yes,yes,yes
40,73a39d90_experiment_df_construct,yes,yes,yes,yes,yes,yes
41,73a39d90_metrics_bootstrap_filter,yes,yes,yes,yes,yes,yes
42,73a39d90_metrics_groupby_agg,yes,yes,yes,yes,yes,yes
43,73a39d90_metrics_groupby_partition,yes,yes,yes,yes,yes,yes
44,73a39d90_run_concat_write,yes,yes,yes,yes,yes,yes
45,73a39d90_run_dataframe_write,yes,yes,yes,yes,yes,yes
46,774f17e7_mane_mappings_filter_symbol,yes,yes,yes,yes,yes,yes
47,774f17e7_mane_mappings_genomic_filter,yes,yes,yes,yes,yes,yes
48,774f17e7_mane_mappings_isin,yes,yes,yes,yes,yes,yes
49,774f17e7_mane_mappings_load,yes,yes,yes,yes,yes,yes
50,774f17e7_mane_transcript_filter_row,yes,yes,yes,yes,yes,yes
51,774f17e7_mane_transcript_parse_ac,yes,yes,yes,yes,yes,yes
52,774f17e7_uta_database_construct,yes,yes,yes,yes,yes,yes
53,7e55b00b_sample_empty_df,yes,yes,yes,yes,yes,yes
54,8017f91b_embedder_frame,yes,yes,yes,yes,yes,yes
55,8017f91b_eval_hybrid_concat_sort,yes,yes,yes,yes,yes,yes
56,8017f91b_eval_hybrid_load,yes,yes,yes,yes,yes,yes
57,8017f91b_hybrid_score_concat,yes,yes,yes,yes,yes,yes
58,8017f91b_hybrid_score_frame,yes,yes,yes,yes,yes,yes
59,8017f91b_input_loc_col,yes,yes,yes,yes,yes,yes
60,8017f91b_input_loc_index_item,yes,yes,yes,yes,yes,yes
61,8017f91b_io_parquet,yes,yes,yes,yes,yes,yes
62,8017f91b_model_data_lang_loc_filter,yes,yes,yes,yes,yes,yes
63,8017f91b_model_data_loc_filter,yes,yes,yes,yes,yes,yes
64,8017f91b_pairwise_cosine_loc,yes,yes,yes,yes,yes,yes
65,8017f91b_pairwise_loc_filter,yes,yes,yes,yes,yes,yes
66,8017f91b_precompute_cross_join,yes,yes,yes,yes,yes,yes
67,8017f91b_precompute_id_cross_frame,yes,yes,yes,yes,yes,yes
68,83c12695_collect_filter,yes,yes,yes,yes,yes,yes
69,83c12695_collect_pivot,yes,yes,yes,yes,yes,yes
70,8bb7bc3a_expose_isin,yes,yes,yes,yes,yes,yes
71,8c71f3c7_attr_getter_unseen_frame,yes,yes,yes,yes,yes,yes
72,8c71f3c7_attr_getter_unseen_iter,yes,yes,yes,yes,yes,yes
73,8c71f3c7_citation_models_fillna,yes,yes,yes,yes,yes,yes
74,8c71f3c7_citation_models_rank,yes,yes,yes,yes,yes,yes
75,8c71f3c7_document_info_tolist,yes,yes,yes,yes,yes,yes
76,8c71f3c7_embedder_frame,yes,yes,yes,yes,yes,yes
77,8c71f3c7_hybrid_score_concat,yes,yes,yes,yes,yes,yes
78,8c71f3c7_hybrid_scorer_citation_index,yes,yes,yes,yes,yes,yes
79,8c71f3c7_hybrid_scorer_language_index,yes,yes,yes,yes,yes,yes
80,8c71f3c7_input_converter_index,yes,yes,yes,yes,yes,yes
81,8c71f3c7_input_converter_loc,yes,yes,yes,yes,yes,yes
82,8c71f3c7_model_choice_load,yes,yes,yes,yes,yes,yes
83,8c71f3c7_pairwise_loc_colname,yes,yes,yes,yes,yes,yes
84,8c71f3c7_pairwise_loc_item,yes,yes,yes,yes,yes,yes
85,8c71f3c7_precompute_df_construct,yes,yes,yes,yes,yes,yes
86,8c71f3c7_s4_combine_load_concat_write,yes,yes,yes,yes,yes,yes
87,8c71f3c7_s8_combine_load_concat_write,yes,yes,yes,yes,yes,yes
