ordinal,snippet_id,l1,l2,l3,test_review,primary_layer,primary_category,cascade,evidence,action
1,05afd878_evaluate_coassembly_edges,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Polars item assignment raises TypeError; paired pandas and empty-input oracle calls succeed.,none
2,05afd878_evaluate_combined,pass,pass,pass,valid,none,none,none,Standard and paired empty-input outputs match.,none
3,05afd878_evaluate_nontarget,pass,pass,pass,valid,none,none,none,Standard and edge outputs match on paired fixtures.,none
4,05afd878_evaluate_unbinned,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Generated code calls removed DataFrame.groupby; pandas succeeds on standard and empty inputs.,none
5,0ffdf231_noaa_ghcn_inventory,pass,pass,pass,valid,none,none,none,Both implementations parse the same local inventory fixture and edge case.,none
6,0ffdf231_noaa_ghcn_stations,pass,pass,pass,valid,none,none,none,Both implementations parse the same local station fixture and edge case.,none
7,142b5bcb_tools_relocate,pass,pass,pass,valid,none,none,none,Returned callables are executed on paired frames and branch behaviour matches.,none
8,16645382_exp_stats_col_assign,pass,pass,pass,valid,none,none,none,The oracle mutation and generated result are both observed and match.,none
9,16645382_exp_stats_rename,pass,pass,pass,valid,none,none,none,Returned frames match for standard and schema-bearing empty inputs.,none
10,1e52b4e7_concat_to_frame,pass,pass,pass,valid,none,none,none,Paired dataset adapters expose equivalent values and rejection behaviour.,none
11,1ec015da_to_rank,pass,fail,fail,valid,L2,schema mismatch,L3,Generated output drops the primary-key column represented by the pandas index; empty input repeats the defect.,none
12,1f8af3a3_target_elusive_sample_pairs,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Generated code explodes a String column and fails before output; paired oracle succeeds.,none
13,1f8af3a3_target_elusive_sparse_edges,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,A list operation is applied to a String aggregation; standard and duplicate-edge oracle calls succeed.,none
14,1f8af3a3_target_elusive_unbinned,pass,fail,fail,valid,L2,return-type mismatch,L3,Pandas returns a named indexed Series while generated code returns a value-only Series without the target contract.,none
15,287a28d8_col_ends_with,pass,pass,pass,valid,none,none,none,Standard and case-sensitive selector behaviour matches.,none
16,287a28d8_col_matches,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Generated code passes pandas-style case/regex keywords to re.search.,none
17,287a28d8_col_starts_with,pass,pass,pass,valid,none,none,none,Standard and edge selector behaviour matches.,none
18,29097c0c_to_dataset_read_wrap,pass,pass,pass,valid,none,none,none,Returned functions are executed and saved frame plus metadata are observed.,none
19,29097c0c_train_iloc_filter,pass,pass,pass,valid,none,none,none,Backend-aware dataset fixtures provide equivalent positional inputs.,none
20,29097c0c_train_merge_concat,fail,fail,pass,valid,L1,shape or structural mismatch,L2,Generated current-fold frame has three columns but existing base frames have four; empty-base edge case passes.,none
21,325e7c2b_dates_pol_interval,pass,pass,pass,valid,none,none,none,Duration and scalar branches match; redundant generated-only check is absent.,none
22,3c49cad1_bench_interp_cols,pass,pass,pass,valid,none,none,none,All extracted lists match for standard and empty requests.,none
23,3c49cad1_bench_interp_filter,pass,pass,pass,valid,none,none,none,Paired standard and no-match filters agree.,none
24,3c49cad1_bench_interp_time_regular,pass,pass,pass,valid,none,none,none,"Normal, null, and all-null behaviours are paired and match.",none
25,3c49cad1_bench_interp_time_rmse,pass,pass,pass,valid,none,none,none,Returned helpers are invoked on paired Series and match.,none
26,3c49cad1_bench_precip_pct,pass,pass,pass,valid,none,none,none,Standard and oracle-derived empty-input results match.,none
27,3c49cad1_bench_precip_regular,pass,pass,pass,valid,none,none,none,Standard and exclude-first branch outputs match.,none
28,3c49cad1_geosphere_all,pass,pass,pass,valid,none,none,none,Standard and schema-bearing empty CSV outputs match.,none
29,3c49cad1_geosphere_collect,pass,fail,fail,valid,L2,index or datetime contract mismatch,L3,Generated date remains String while pandas returns datetime on both standard and missing-value inputs.,none
30,3c49cad1_mosmix_access_dataframe,fail,fail,fail,repaired,L1,import or unresolved-reference error,L2/L3,Consuming the generator exposes an invalid polars.DatetimeIndex import.,L1 now consumes the first yielded value on both sides.
31,3c49cad1_mosmix_access_datetime,pass,pass,fail,valid,L3,empty-input handling,none,Standard datetime values match; empty input creates a Null Series on which generated .str fails.,none
32,3c49cad1_radar_index_radolan,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,str.ends_with receives a tuple unsupported by Polars; paired pandas calls succeed.,none
33,3c49cad1_radar_index_sweeps,pass,pass,pass,valid,none,none,none,Standard and mixed-filename selection outputs match.,none
34,3c49cad1_radar_sites_cols,pass,pass,pass,valid,none,none,none,Column extraction and edge behaviour match.,none
35,3c49cad1_radar_sites_dicts,pass,pass,pass,valid,none,none,none,Returned dictionary construction matches on paired fixtures.,none
36,3c49cad1_timeseries_extract,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Generated code calls with_columns on the outer parameter object instead of mutating its values frame.,none
37,3c49cad1_timeseries_gain,fail,fail,fail,valid,L1,invalid target API usage,L2/L3,Generated code uses unsupported Polars item assignment; captured score/state oracle succeeds.,none
38,4bb33aa8_trx_stats_isin,pass,pass,pass,valid,none,none,none,Values and paired exception contract match.,none
