snippet_id,repository,repository_url,commit_sha,commit_url,source_file,pandas_code,polars_code,migration_diff,snippet_note,pandas_api_labels,polars_api_labels,migration_categories,category_core_dataframe_transformations,category_index_and_row_semantics,category_aggregation_and_combination,category_io_boundaries,category_types_schemas_temporal,category_udf_and_custom_logic,category_lazy_execution,category_missing_and_null_semantics,category_import_and_setup_only,category_reshaping,category_other_manual,migration_pattern_note,evaluation_valid,evaluation_status,evaluation_audit_evidence,evaluation_audit_action
05afd878_evaluate_coassembly_edges,AroneyS__binchicken,https://github.com/AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,https://github.com/AroneyS/binchicken/commit/05afd8785eb79c5ad01bcf2355520c80ffb16739,ibis__workflow__scripts__evaluate.py,"import pandas as pd

    elusive_edges[""sample1""] = elusive_edges[""sample1""].apply(lambda x: re.sub(r""\.1$"", """", x))
    elusive_edges[""sample2""] = elusive_edges[""sample2""].apply(lambda x: re.sub(r""\.1$"", """", x))
    elusive_edges = (elusive_edges
        .set_index(""sample1"")
        .join(elusive_clusters)
        .reset_index()
        .rename(columns={""index"": ""sample1""})
        .set_index(""sample2"")
        .join(elusive_clusters, rsuffix=""2"")
        .reset_index()
        .rename(columns={""index"": ""sample2""})
        )
    coassembly_edges = elusive_edges[elusive_edges[""coassembly""] == elusive_edges[""coassembly2""]].copy()
    coassembly_edges[""target""] = coassembly_edges[""target_ids""].str.split("","")
    coassembly_edges = coassembly_edges.explode(""target"").drop_duplicates([""target"", ""coassembly""]).set_index(""target"")[[""coassembly""]]","    sample_coassemblies = elusive_clusters.select(
        pl.col(""samples"").str.split("",""),
        ""coassembly""
    ).explode(""samples"")

    coassembly_edges = elusive_edges.with_columns(
        pl.col(""sample1"").str.replace(r""\.1$"", """"),
        pl.col(""sample2"").str.replace(r""\.1$"", """"),
    ).join(
        sample_coassemblies, left_on=""sample1"", right_on=""samples"", how=""left""
    ).join(
        sample_coassemblies, left_on=""sample2"", right_on=""samples"", how=""left"", suffix=""2""
    ).filter(
        pl.col(""coassembly"") == pl.col(""coassembly2"")
    ).with_columns(
        pl.col(""target_ids"").str.split("","").alias(""target"")
    ).explode(""target""
    ).select([""target"", ""coassembly""]
    ).unique()",,set_index chained join → polars join chain migration,"Index objects, UDF / apply / map, DataFrame, General functions","Core dataframe transforms, Reshape",Index and row semantics; UDF and custom-logic rewrites; Reshaping,False,True,False,False,False,True,False,False,False,True,False,"The set_index → join → reset_index → rename idiom must be recognized as an index-keyed join pattern and rewritten as an explicit-column join(left_on=..., right_on=...) in Polars",True,valid,"The pandas fixture represents sample as an index and the Polars fixture represents the same key as a column; L1, L2, and L3 exercise both implementations, and empty inputs retain schema.",none
05afd878_evaluate_combined,AroneyS__binchicken,https://github.com/AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,https://github.com/AroneyS/binchicken/commit/05afd8785eb79c5ad01bcf2355520c80ffb16739,ibis__workflow__scripts__evaluate.py,"import pandas as pd

    combined_otu_table = recovered_otu_table.set_index([""coassembly"", ""gene"", ""sequence""])[[""genome"", ""taxonomy""]].join(haystack_otu_table, how=""outer"", rsuffix=""old"").reset_index()
    combined_otu_table[""taxonomy""] = combined_otu_table[""taxonomy""].combine(combined_otu_table[""taxonomyold""], lambda a,b: a if not pd.isna(a) else b)
    combined_otu_table = combined_otu_table.drop(""taxonomyold"", axis=1)
    combined_otu_table = combined_otu_table[combined_otu_table[""coassembly""].isin(recovered_coassemblies)]
    combined_otu_table = combined_otu_table[combined_otu_table[""genome""].notnull() | combined_otu_table[""target""].notnull()]","    combined_otu_table = recovered_otu_table.join(
        haystack_otu_table, on=[""coassembly"", ""gene"", ""sequence""], how=""outer"", suffix=""old""
    ).select(
        ""coassembly"", ""gene"", ""sequence"", ""genome"", ""target"", ""found_in"",
        pl.when(pl.col(""taxonomy"").is_null())
        .then(pl.col(""taxonomyold""))
        .otherwise(pl.col(""taxonomy""))
        .alias(""taxonomy""),
    ).filter(
        (pl.col(""coassembly"").is_in(pl.lit(recovered_otu_table[""coassembly""]))) &
        ((pl.col(""genome"").is_not_null()) | (pl.col(""target"").is_not_null()))
    )",,outer join + combine + insert → polars outer join + when/then/otherwise + filter migration,"Index objects, UDF / apply / map, Missing values, DataFrame","Core dataframe transforms, Missing values",Index and row semantics; UDF and custom-logic rewrites; Missing and null semantics,False,True,False,False,False,True,False,True,False,False,False,"The set_index → outer join → reset_index MultiIndex join pattern must be recognized as an index-keyed join and collapsed into a single explicit-column join(on=[...]) call, with the combine lambda separately mapped to pl.when().then().otherwise().",True,valid_after_harness_audit,L3 calls only gen_evaluate_combined with empty Polars inputs and reports whether it crashed; the pandas oracle is not run and outputs are not compared.,Run before_evaluate_combined on equivalent empty pandas inputs and compare both outputs.
05afd878_evaluate_nontarget,AroneyS__binchicken,https://github.com/AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,https://github.com/AroneyS/binchicken/commit/05afd8785eb79c5ad01bcf2355520c80ffb16739,ibis__workflow__scripts__evaluate.py,"import pandas as pd

    binned_otu_table[""sample""] = binned_otu_table[""sample""].apply(lambda x: re.sub(r""\.1$"", """", x))
    nontarget_otu_table = (binned_otu_table
        .set_index([""sample""])[[""gene"", ""sequence"", ""taxonomy"", ""found_in""]]
        .join(elusive_clusters)
        .dropna(subset=[""coassembly""])
        .drop_duplicates()
        .set_index([""coassembly"", ""gene"", ""sequence""])
        )
    nontarget_otu_table[""target""] = None

    haystack_otu_table = pd.concat([elusive_otu_table, nontarget_otu_table])","    nontarget_otu_table = binned_otu_table.select([
        pl.col(""sample"").str.replace(r""\.1$"", """"),
        ""gene"", ""sequence"", ""taxonomy"", ""found_in""
    ]).join(
        sample_coassemblies, left_on=""sample"", right_on=""samples"", how=""left""
    ).drop(""sample""
    ).drop_nulls(""coassembly""
    ).unique(
    ).with_columns(
        pl.lit(None).cast(str).alias(""target"")
    )

    haystack_otu_table = pl.concat([elusive_otu_table, nontarget_otu_table])",,set_index join + dropna + pd.concat → polars join + drop_nulls + pl.concat migration,"Index objects, UDF / apply / map, Missing values, General functions","Core dataframe transforms, Missing values",Index and row semantics; Missing and null semantics,False,True,False,False,False,False,False,True,False,False,False,两次 set_index 的意图不同（一为 join key，一为结构标识），LLM 必须分别识别其语义才能正确消除这两处 index 操作。,True,valid,"The pandas-index and Polars-key fixtures are semantically paired; both sides are run at L1, L2, and L3, and mutable pandas inputs are copied.",none
05afd878_evaluate_unbinned,AroneyS__binchicken,https://github.com/AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,https://github.com/AroneyS/binchicken/commit/05afd8785eb79c5ad01bcf2355520c80ffb16739,ibis__workflow__scripts__evaluate.py,"import pandas as pd

    unbinned_otu_table = unbinned_otu_table.groupby([""gene"", ""sequence""]).first()[[""target"", ""taxonomy""]].reset_index()
    unbinned_otu_table.dropna(inplace=True)
    unbinned_otu_table[""target""] = unbinned_otu_table[""target""].astype(str)","    unbinned_otu_table = unbinned_otu_table.select([
        ""gene"", ""sequence"",
        pl.first(""target"").over([""gene"", ""sequence""]).cast(str),
        pl.first(""taxonomy"").over([""gene"", ""sequence""]),
    ]).unique().drop_nulls()",,groupby.first + dropna + astype → select with window over + unique + drop_nulls migration,"GroupBy, Index objects, Missing values, pandas arrays / scalars / data types","Time series & window, Core dataframe transforms, Missing values","Index and row semantics; Types, schemas, and temporal operations",False,True,False,False,True,False,False,False,False,False,False,groupby.first() 在 polars 中需识别为窗口函数模式（pl.first().over()）而非聚合模式，并配合 unique() 才能正确还原其语义,True,valid_after_harness_audit,L3 calls only gen_evaluate_unbinned on an explicitly typed empty Polars DataFrame; no equivalent pandas-oracle call or comparison is present.,"Add the equivalent empty pandas input, run before_evaluate_unbinned, and compare outputs."
1f8af3a3_target_elusive_sample_pairs,AroneyS__binchicken,https://github.com/AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,https://github.com/AroneyS/binchicken/commit/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,ibis__workflow__scripts__target_elusive.py,"import pandas as pd

    sample_pairs = (unbinned
        .groupby(""target"")
        .apply(find_pairs)
        .to_frame(""sample_pairs"")
        .explode(""sample_pairs"")
        .dropna(subset = ""sample_pairs"")
        .join(taxonomy)
        .reset_index()
        )
    sample_pairs[""taxa_group""] = sample_pairs[""taxonomy""].apply(get_taxa_group)
    sample_pairs = sample_pairs.dropna(subset = ""taxa_group"")","    sample_pairs = unbinned.join(unbinned, how=""cross"", suffix=""_2""
    ).filter(
        (pl.col(""target"") == pl.col(""target_2"")) &
        (pl.col(""sample"").str.encode(""hex"") < pl.col(""sample_2"").str.encode(""hex"")) &
        (pl.col(""coverage"") + pl.col(""coverage_2"") > MIN_COASSEMBLY_COVERAGE)
    ).with_columns(
        pl.col(""taxonomy"").str.split(TAXA_LEVEL_SEP).arr.get(TAXA_LEVEL_OF_INTEREST).alias(""taxa_group""),
    ).filter(
        (pl.col(""taxa_group"").is_not_null()) &
        ((TAXA_OF_INTEREST == """") |
        (pl.col(""taxa_group"") == TAXA_OF_INTEREST))
    )",,groupby.apply with combinations helper → cross join + filter migration,"UDF / apply / map, GroupBy, DataFrame, Missing values","Core dataframe transforms, Missing values, Types & schema",Aggregation and combination; UDF and custom-logic rewrites,False,False,True,False,False,True,False,False,False,False,False,Requires full semantic reconstruction of the UDF's intent before any expression-based rewrite can be attempted.,True,valid,The helper functions accept the paired pandas and Polars group representations; taxonomy and unbinned fixtures encode the same keys and both sides are compared in L2 and L3.,none
1f8af3a3_target_elusive_sparse_edges,AroneyS__binchicken,https://github.com/AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,https://github.com/AroneyS/binchicken/commit/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,ibis__workflow__scripts__target_elusive.py,"import pandas as pd

    sparse_edges = (sample_pairs
        .groupby([""taxa_group"", ""sample_pairs""])[""target""]
        .agg([""count"", lambda x: "","".join(sorted(x))])
        .reset_index()
        )
    sparse_edges.rename(columns = {""count"": ""weight"", ""<lambda_0>"": ""target_ids""}, inplace=True)","    sparse_edges = sample_pairs.groupby([
        ""taxa_group"", ""sample"", ""sample_2""
    ]).agg([
        pl.count().alias(""weight"").cast(int),
        pl.col(""target"").sort().str.concat("","").alias(""target_ids"")
    ]).select([
        ""taxa_group"", ""weight"", ""target_ids"",
        pl.col(""sample"").alias(""sample1""),
        pl.col(""sample_2"").alias(""sample2"")
    ])",,groupby aggregation with lambda → polars groupby agg migration,"UDF / apply / map, GroupBy, DataFrame","DataFrame/GroupBy, Core dataframe transforms",Aggregation and combination; UDF and custom-logic rewrites,False,False,True,False,False,True,False,False,False,False,False,The lambda inside .agg() must be recognized as a sort-then-join pattern and mapped to the equivalent native Polars string expression.,True,valid,Paired pandas and Polars frames are used and both standard and duplicate-group aggregation outputs are compared.,none
1f8af3a3_target_elusive_unbinned,AroneyS__binchicken,https://github.com/AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,https://github.com/AroneyS/binchicken/commit/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,ibis__workflow__scripts__target_elusive.py,"import pandas as pd

    unbinned.drop([""found_in""], axis=1, errors=""ignore"", inplace=True)
    unbinned[""target""] = unbinned.groupby([""gene"", ""sequence""]).ngroup()
    unbinned[""target""] = unbinned[""target""].astype(str)

    taxonomy = unbinned.groupby(""target"")[""taxonomy""].first()","    unbinned = unbinned.drop(""found_in""
    ).with_row_count(""target""
    ).select(
        ""gene"", ""sample"", ""sequence"", ""num_hits"", ""coverage"", ""taxonomy"",
        pl.first(""target"").over([""gene"", ""sequence""]).rank(""dense"") - 1,
    ).with_columns(
        pl.col(""target"").cast(pl.Utf8)
    )",,groupby.ngroup + astype → with_row_count + select with over + rank migration,"GroupBy, pandas arrays / scalars / data types, DataFrame","Time series & window, Core dataframe transforms, Types & schema","Index and row semantics; Types, schemas, and temporal operations",False,True,False,False,True,False,False,False,False,False,False,"ngroup() has no direct Polars equivalent and must be reconstructed via a with_row_count + over + rank(""dense"") combination that an LLM must derive from semantic intent, not API lookup.",True,valid,The mutating pandas input is copied; the returned indexed Series is converted with its target index preserved and compared with the Polars target column.,none
83c12695_collect_filter,AroneyS__binchicken,https://github.com/AroneyS/binchicken,83c126954359efe0b6c3a339afe1d466ac675dd5,https://github.com/AroneyS/binchicken/commit/83c126954359efe0b6c3a339afe1d466ac675dd5,ibis__workflow__scripts__collect_reference_bins.py,"import pandas as pd

    appraise_binned[""sample""] = appraise_binned[""sample""].str.replace(""\.1$"", """", regex=True)
    appraise_binned = appraise_binned[appraise_binned[""sample""] == sample]","    appraise_binned = appraise_binned.with_columns(
        pl.col(""sample"").str.replace(""\.1$"", """")
    ).filter(
        pl.col(""sample"") == sample
    )",,inplace str.replace + boolean indexing → with_columns + filter migration,"Series, DataFrame",Core dataframe transforms,Core dataframe transformations,True,False,False,False,False,False,False,False,False,False,False,Near one-to-one API substitution; the only structural change is merging two imperative assignment steps into a single expression chain.,True,valid,Both implementations receive equivalent inputs and filtered collections are compared completely.,none
83c12695_collect_pivot,AroneyS__binchicken,https://github.com/AroneyS/binchicken,83c126954359efe0b6c3a339afe1d466ac675dd5,https://github.com/AroneyS/binchicken/commit/83c126954359efe0b6c3a339afe1d466ac675dd5,ibis__workflow__scripts__collect_reference_bins.py,"import pandas as pd

    appraise_binned[""found_in""] = appraise_binned[""found_in""].str.split("","")
    appraise_binned = appraise_binned.explode(""found_in"")
    appraise_binned[""found_in""] = appraise_binned[""found_in""].str.replace(""_protein$"", """", regex=True)

    trimmed_binned = (appraise_binned.groupby([""gene"", ""found_in""])[""coverage""]
        .sum()
        .reset_index()
        .pivot(index=""gene"", columns=""found_in"", values=""coverage"")
        .reset_index()
        .melt(id_vars=""gene"")
        .fillna(0)
        .groupby(""found_in"")[""value""]
        .apply(trimmed_mean)
        .reset_index()
        )
    reference_bins = set(trimmed_binned[trimmed_binned[""value""] > 0][""found_in""].to_list())","    reference_bins = appraise_binned.with_columns(
        pl.col(""found_in"").str.split("","")
    ).explode(
        ""found_in""
    ).with_columns(
        pl.col(""found_in"").str.replace(""_protein$"", """")
    ).groupby(
        [""gene"", ""found_in""]
    ).agg(
        pl.col(""coverage"").sum()
    ).pivot(
        values=""coverage"", index=""gene"", columns=""found_in"",
    ).melt(
        id_vars=""gene"", variable_name=""found_in"", value_name=""coverage""
    ).fill_null(0
    ).groupby(
        ""found_in""
    ).agg(
        (pl.col(""coverage"").len() * TRIM_FRACTION).floor().cast(int).alias(""cut""),
        pl.col(""coverage"")
    ).with_columns(
        pl.col(""coverage"").arr.sort().arr.slice(
            pl.col(""cut""), pl.col(""coverage"").arr.lengths() - 2 * pl.col(""cut"")
        ).arr.mean()
    ).filter(
        pl.col(""coverage"") > 0
    ).get_column(""found_in""
    ).to_list()
    return set(reference_bins)",,str.split + explode + groupby/pivot/melt/apply pipeline → polars chained transformation migration,"UDF / apply / map, GroupBy, General functions, Series","Core dataframe transforms, DataFrame/GroupBy, Reshape",Aggregation and combination; UDF and custom-logic rewrites; Reshaping,False,False,True,False,False,True,False,False,False,True,False,apply(trimmed_mean) 的迁移要求 LLM 理解截尾均值的算法逻辑，并将其分解为 arr.sort → arr.slice → arr.mean 的 polars list 表达式链，而非仅做函数名替换,True,valid,The pivot fixtures preserve equivalent keys and values and the complete normalized output is checked.,none
92e35040_query_appraised,AroneyS__binchicken,https://github.com/AroneyS/binchicken,92e35040b869ded08ec8660091f49024221a9ffb,https://github.com/AroneyS/binchicken/commit/92e35040b869ded08ec8660091f49024221a9ffb,ibis__workflow__scripts__query_processing.py,"import pandas as pd

    appraised = (query_read
        .rename(columns = {""marker"": ""gene"", ""query_name"":""sample"", ""query_sequence"": ""sequence"", ""sample"": ""found_in""})
        .drop([""taxonomy"", ""num_hits"", ""coverage""], axis=1, errors=""ignore"")
        .set_index([""gene"", ""sample"", ""sequence""])
        .join(pipe_read.set_index([""gene"", ""sample"", ""sequence""]), on = [""gene"", ""sample"", ""sequence""], how = ""inner"")
        .reset_index()
        .groupby([""gene"", ""sample"", ""sequence"", ""num_hits"", ""coverage"", ""taxonomy"", ""divergence""])[""found_in""]
        .agg(lambda x: "","".join(sorted(x)))
        .reset_index()
        )","    appraised = query_read.rename(
        {""marker"": ""gene"", ""query_name"":""sample"", ""query_sequence"": ""sequence"", ""sample"": ""found_in""}
    ).drop([
        ""taxonomy"", ""num_hits"", ""coverage""
    ]).join(
        pipe_read, on=[""gene"", ""sample"", ""sequence""], how=""inner""
    ).groupby(
        [""gene"", ""sample"", ""sequence"", ""num_hits"", ""coverage"", ""taxonomy"", ""divergence""]
    ).agg(
        pl.col(""found_in"").sort().str.concat("","")
    ).with_columns(
        pl.col(""divergence"").alias(""binned"") <= ((1 - SEQUENCE_IDENTITY) * WINDOW_SIZE)
    )",,set_index join + groupby agg with lambda → polars join + groupby agg migration,"UDF / apply / map, GroupBy, Index objects, DataFrame","DataFrame/GroupBy, Core dataframe transforms",Index and row semantics; Aggregation and combination; UDF and custom-logic rewrites,False,True,True,False,False,True,False,False,False,False,False,"GroupBy 内的 lambda x: "","".join(sorted(x)) 需被识别为排序拼接语义，才能正确映射为 pl.col(...).sort().str.concat("","") 原生表达式。",True,valid,Equivalent source tables are used and complete standard and empty outputs are compared.,none
