ordinal,snippet_id,shared_source_read,baseline_generated_read,exp1_generated_read,exp2_generated_read,exp3_generated_read,H1_variable_or_input_mismatch,H2_cross_library_fixture_type,H3_missing_outer_context,H4_side_effect_not_observed,H5_generated_only_L3,H6_empty_schema_problem,H7_join_suffix_artifact,H8_serialization_mismatch,H9_wrong_or_missing_observable,verdict,evidence,action
1,05afd878_evaluate_coassembly_edges,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pandas fixture represents sample as an index and the Polars fixture represents the same key as a column; L1, L2, and L3 exercise both implementations, and empty inputs retain schema.",none
2,05afd878_evaluate_combined,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"L3 calls only gen_evaluate_combined with empty Polars inputs and reports whether it crashed; the pandas oracle is not run and outputs are not compared.","Run before_evaluate_combined on equivalent empty pandas inputs and compare both outputs."
3,05afd878_evaluate_nontarget,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pandas-index and Polars-key fixtures are semantically paired; both sides are run at L1, L2, and L3, and mutable pandas inputs are copied.",none
4,05afd878_evaluate_unbinned,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"L3 calls only gen_evaluate_unbinned on an explicitly typed empty Polars DataFrame; no equivalent pandas-oracle call or comparison is present.","Add the equivalent empty pandas input, run before_evaluate_unbinned, and compare outputs."
5,0ffdf231_noaa_ghcn_inventory,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations receive the same temporary fixed-width text file; L1, L2, and the single-row L3 execute the oracle and generated wrapper.",none
6,0ffdf231_noaa_ghcn_stations,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations receive the same temporary station text file; L2 and L3 execute and compare both sides.",none
7,142b5bcb_tools_relocate,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The harness invokes the function returned by each wrapper and compares column order across normal, branch, and error cases using paired pandas and Polars frames.",none
8,16645382_exp_stats_col_assign,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Although the oracle returns None after mutating its input, L2 and L3 compare the mutated pandas DataFrame with the generated Polars result.",none
9,16645382_exp_stats_rename,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"L2 compares both returned frames and L3 uses equivalent schema-bearing empty pandas and Polars frames.",none
10,1e52b4e7_concat_to_frame,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The dataset-like fixture deliberately exposes equivalent to_pandas and to_polars methods; both implementations receive the same logical datasets and are compared, including empty-list rejection.",none
11,1ec015da_to_rank,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,repair,"All generated wrappers are given pandas Series instead of equivalent Polars Series. The purported L3 case then reuses the normal Series inputs, runs only generated code, and prints that the edge case was skipped.","Create paired pandas and Polars Series fixtures; run and compare both implementations on schema-bearing empty Series in L3."
12,1f8af3a3_target_elusive_sample_pairs,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The helper functions accept the paired pandas and Polars group representations; taxonomy and unbinned fixtures encode the same keys and both sides are compared in L2 and L3.",none
13,1f8af3a3_target_elusive_sparse_edges,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Paired pandas and Polars frames are used and both standard and duplicate-group aggregation outputs are compared.",none
14,1f8af3a3_target_elusive_unbinned,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutating pandas input is copied; the returned indexed Series is converted with its target index preserved and compared with the Polars target column.",none
15,287a28d8_col_ends_with,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent pandas and Polars column schemas are supplied; scalar and tuple suffixes and empty-row behavior are compared directly as lists.",none
16,287a28d8_col_matches,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both outputs and kwargs-mutation behavior are compared across regex, literal, case, and flags branches using paired fixtures.",none
17,287a28d8_col_starts_with,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned functions are invoked on paired frames and list outputs are compared for normal, no-match, empty-row, and tuple-prefix cases.",none
18,29097c0c_to_dataset_read_wrap,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,repair,"L2 passes the returned function objects to compare, so it does not execute or observe make_lenta. A later paired L3 branch does inspect the saved Dataset, while a separate generated-only L3 case merely skips.","Execute the returned functions and compare saved DataFrame plus metadata in L2; remove the generated-only automatic skip and reserve L3 for a real paired edge case."
19,29097c0c_train_iloc_filter,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,repair,"The shared cds.Dataset fixture always slices df with pandas syntax and .iloc even when a generated wrapper supplies a Polars DataFrame, so it can create a harness failure. L3 runs only generated code and then reports skip.","Make Dataset backend-aware and expose matching pandas/Polars X, y, and w objects; replace the generated-only skip with a paired edge case."
20,29097c0c_train_merge_concat,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"L1 and L2 use paired inputs, but the empty-base_dfs L3 invokes only gen_train_merge_concat and never compares the pandas oracle.","Run before_train_merge_concat with an empty pandas list and compare it with the generated result from an empty Polars list."
21,325e7c2b_dates_pol_interval,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The substantive duration and scalar cases are paired, but a separate L3 wrapper-construction block invokes only gen_dates_pol_interval and can add a generated-only success observation.","Remove the redundant generated-only wrapper-construction L3 block."
22,3c49cad1_bench_interp_cols,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"L2 correctly checks all three extracted local lists, but the empty-request L3 executes only the generated wrapper.","Run the pandas oracle on an equivalent empty request and compare all extracted lists on both sides."
23,3c49cad1_bench_interp_filter,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A paired no-match oracle test exists, but it is preceded by a redundant generated-only L3 no-match block.","Delete the generated-only duplicate and retain the paired no-match L3 case."
24,3c49cad1_bench_interp_time_regular,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Normal, multi-station, null, and all-null cases use equivalent pandas and Polars frames; the all-null case verifies that both implementations reject the input.",none
25,3c49cad1_bench_interp_time_rmse,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The returned RMSE helpers are actually invoked with paired pandas and Polars Series in both standard and null-containing cases.",none
26,3c49cad1_bench_precip_pct,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The empty-input behavior is later compared with the oracle, but an earlier duplicate L3 block runs only generated code and hard-codes an expected zero.","Remove the generated-only hard-coded block and retain the oracle-derived paired empty-input test."
27,3c49cad1_bench_precip_regular,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The exclude-first branch has a paired comparison, but a preceding duplicate L3 block runs only the generated implementation.","Delete the generated-only duplicate and keep the paired exclude-first branch."
28,3c49cad1_geosphere_all,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A paired schema-bearing empty-CSV comparison exists, but a preceding empty-CSV L3 block runs only generated code.","Remove the redundant generated-only empty-CSV block."
29,3c49cad1_geosphere_collect,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations read equivalent local JSON responses and are compared for standard and missing-measurement payloads.",none
30,3c49cad1_mosmix_access_dataframe,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The harness consumes one item from each returned generator and compares the yielded frames, including an empty mapping.",none
31,3c49cad1_mosmix_access_datetime,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"DatetimeIndex and Polars Series values are normalized to Timestamp lists and compared for populated and empty timestep collections.",none
32,3c49cad1_radar_index_radolan,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The default and mixed-filename cases use paired frames and compare the filtered outputs.",none
33,3c49cad1_radar_index_sweeps,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Although both functions return None, tracing captures and compares the local files_server result for all-bz2, mixed, and empty inputs.",none
34,3c49cad1_radar_sites_cols,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent coordinate tables are supplied and returned frames are compared for normal and one-row inputs; invalid coordinates are required to fail on both sides.",none
35,3c49cad1_radar_sites_dicts,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The shared global df is deliberately swapped to equivalent pandas and Polars records before each call, restored afterward, and resulting mappings are compared.",none
36,3c49cad1_timeseries_extract,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"L2 observes the mutated param_data.values and a later L3 overwrite case is paired, but the empty-input L3 executes only generated code.","Add an equivalent empty pandas param and Series, execute both sides, and compare mutated values; remove the generated-only block."
37,3c49cad1_timeseries_gain,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Tracing captures old_score, new_score, and the reassigned local old_values even though the oracle returns None; standard and empty cases compare the same observables.",none
38,4bb33aa8_trx_stats_isin,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-column L3 marks any exception on both sides as a match. This masks generated SyntaxError in baseline, Exp1, and Exp3 as equivalent to the oracle's expected AssertionError.","Require AssertionError on both sides (or exact exception-type equality) and report generated SyntaxError as a generated-code failure."
39,6f1c2684_datasets_read_csv,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,repair,"The L3 header-only CSV uses columns a,b even though both implementations require the index, age, qx, and gender schema; resulting reader errors come from the invalid test fixture.","Use a schema-valid empty CSV header ',age,qx,gender' and compare the two empty results."
40,73a39d90_experiment_df_construct,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The same record sequence is passed to both constructors and empty-record outputs are compared as zero-column frames.",none
41,73a39d90_metrics_bootstrap_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both sides receive equivalent metrics frames; standard and empty selections compare the returned rows and schemas.",none
42,73a39d90_metrics_groupby_agg,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent grouped inputs are used and the complete aggregation output is compared after normalization.",none
43,73a39d90_metrics_groupby_partition,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The fixture and observable match the grouping operation on both sides, including the edge case.",none
44,73a39d90_run_concat_write,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The harness observes the written artefact rather than the None return and uses equivalent temporary destinations.",none
45,73a39d90_run_dataframe_write,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations receive equivalent records and the emitted file content is the compared observable.",none
46,774f17e7_mane_mappings_filter_symbol,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"L2 compared only selected fields from the first returned record, allowing errors in later records or unobserved fields to pass.","Compare the complete normalized record list on both sides."
47,774f17e7_mane_mappings_genomic_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The complete filtered result is compared using semantically equivalent dataframe fixtures.",none
48,774f17e7_mane_mappings_isin,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"L2 inspected only one field of the first record instead of the full returned collection.","Compare every field of every normalized result record."
49,774f17e7_mane_mappings_load,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The fixture format matches each reader and the full loaded result is compared.",none
50,774f17e7_mane_transcript_filter_row,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-transcript edge case treated any exception pair as equivalent and could hide generated syntax or wrapper failures.","Require the oracle IndexError and reject generated SyntaxError or NameError as non-equivalent."
51,774f17e7_mane_transcript_parse_ac,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both standard and malformed accession inputs exercise the same parsing contract.",none
52,774f17e7_uta_database_construct,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,repair,"The original fixture passed a Polars DataFrame into the pandas oracle as well as the generated implementation; the empty edge case also ran generated code alone.","Use a shared raw list of tuples, construct library-native frames inside each wrapper, and run both sides for the empty case."
53,7e55b00b_sample_empty_df,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The explicitly typed empty fixtures are semantically equivalent and both results are observed.",none
54,8017f91b_embedder_frame,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent embedding records are supplied and complete frames are compared after normalization.",none
55,8017f91b_eval_hybrid_concat_sort,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"A redundant L3 block executed only generated code, so it could not establish behavioural equivalence.","Remove the generated-only block and retain the paired duplicate-ID edge test."
56,8017f91b_eval_hybrid_load,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both readers consume corresponding fixtures and the loaded output is compared.",none
57,8017f91b_hybrid_score_concat,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The empty-concatenation case accepted any exception from each side as equivalent.","Treat generated SyntaxError and NameError as generated-code failures rather than matching the oracle ValueError."
58,8017f91b_hybrid_score_frame,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The frame constructor receives the same score records and compares the complete result.",none
59,8017f91b_input_loc_col,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-identifier test counted arbitrary generated exceptions as matching the oracle rejection.","Exclude generated SyntaxError and NameError from exception-equivalence success."
60,8017f91b_input_loc_index_item,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The duplicate-URL edge case used inverted exception control flow and could print success even when only one side rejected.","Capture both outcomes explicitly and pass only when both independently reject without generated syntax or name errors."
61,8017f91b_io_parquet,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pandas and Polars paths are written in their respective compatible formats; no pickle-to-IPC mismatch is present.",none
62,8017f91b_model_data_lang_loc_filter,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The isolated fragment depends on enclosing model state and exposes neither a return value nor a recoverable mutated object in the snippet.","Re-extract with its enclosing function or exclude/disable this snippet; do not fabricate an observable."
63,8017f91b_model_data_loc_filter,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The fragment references outer state and its meaningful postcondition is unavailable after isolation.","Re-extract the complete function with object state or exclude/disable the snippet."
64,8017f91b_pairwise_cosine_loc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-ID case allowed any generated exception to match the oracle KeyError.","Reject generated SyntaxError and NameError when assessing paired rejection."
65,8017f91b_pairwise_loc_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-ID case could classify arbitrary generated exceptions as equivalent to the oracle KeyError.","Exclude generated SyntaxError and NameError from a successful rejection match."
66,8017f91b_precompute_cross_join,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent source frames are used and the full cross-join output is compared.",none
67,8017f91b_precompute_id_cross_frame,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The extracted lines rely on surrounding variables and do not retain an independently observable result.","Re-extract the containing function or exclude/disable this isolated fragment."
68,83c12695_collect_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both implementations receive equivalent inputs and filtered collections are compared completely.",none
69,83c12695_collect_pivot,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pivot fixtures preserve equivalent keys and values and the complete normalized output is checked.",none
70,8bb7bc3a_expose_isin,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-column case considered any two exceptions equivalent, masking generated SyntaxError as a match for the oracle AssertionError.","Require AssertionError on both sides and report generated syntax or wrapper errors as failures."
71,8c71f3c7_attr_getter_unseen_frame,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,repair,"The test passed a DataFrame although the source fragment consumes an iterable of score tuples from the enclosing ranking operation.","Pass equivalent raw score tuples to both implementations and use an empty list for the edge case."
72,8c71f3c7_attr_getter_unseen_iter,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,evaluation_invalid,"The isolated iteration fragment lacks the enclosing object state and a self-contained output contract.","Re-extract the containing method or exclude/disable the snippet."
73,8c71f3c7_citation_models_fillna,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent null-containing model data is supplied and the filled output is compared.",none
74,8c71f3c7_citation_models_rank,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The ranking input and complete ordered output are exercised on both sides.",none
75,8c71f3c7_document_info_tolist,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent document records are used and list conversion is directly observed.",none
76,8c71f3c7_embedder_frame,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both constructors receive identical embedding records and complete frames are normalized for comparison.",none
77,8c71f3c7_hybrid_score_concat,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The paired test compares concatenated scores and handles the empty input contract on both sides.",none
78,8c71f3c7_hybrid_scorer_citation_index,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The citation-index lookup uses equivalent identifiers and observes the scalar result or paired rejection.",none
79,8c71f3c7_hybrid_scorer_language_index,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The language-index lookup is tested with equivalent tables and the scalar observable is compared.",none
80,8c71f3c7_input_converter_index,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The rejection helper could accept generated SyntaxError or NameError as equivalent to a legitimate oracle exception.","Exclude generated syntax and unresolved-name failures from successful exception equivalence."
81,8c71f3c7_input_converter_loc,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The shared rejection helper accepted any exception pair and could hide generated syntax or unresolved-name failures.","Exclude generated SyntaxError and NameError from successful exception equivalence."
82,8c71f3c7_model_choice_load,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The injected loader is part of the source contract; both standard and empty loader results are compared completely.",none
83,8c71f3c7_pairwise_loc_colname,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-ID test required identical exception classes across pandas and Polars and contained a redundant call using non-missing IDs.","Run one paired missing-ID case and accept semantic rejection while excluding generated syntax and name errors."
84,8c71f3c7_pairwise_loc_item,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-ID test treated differing library-specific exception classes as a mismatch and included a redundant normal-input call.","Use explicit empty library-native frames and compare semantic rejection rather than exact exception classes."
85,8c71f3c7_precompute_df_construct,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pandas index and corresponding Polars input are paired and both standard and empty constructed frames are compared.",none
86,8c71f3c7_s4_combine_load_concat_write,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The complete concatenated frame plus loader and writer side effects are observed on both sides.",none
87,8c71f3c7_s8_combine_load_concat_write,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both return data and loader/writer interactions are checked with equivalent pandas and Polars inputs.",none
88,92e35040_query_appraised,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Equivalent source tables are used and complete standard and empty outputs are compared.",none
89,92e35040_query_binned_unbinned,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both members of the returned tuple are checked and the empty case runs both implementations.",none
90,92e35040_query_write_csv,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Temporary destinations isolate the test and both return values and complete TSV contents are compared.",none
91,99aff9e0_rename_columns_empty_df,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The pandas, Polars, LazyFrame, and unsupported-input branches each exercise the same source contract on both sides.",none
92,a39f4527_expose_trx_join_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Join inputs do not pre-contain conflicting output columns; standard and boundary-date results are compared completely.",none
93,a39f4527_expose_trx_left_join_fill,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The harness compares both the returned transaction-column list and the self.data mutation, including empty frames.",none
94,a39f4527_expose_trx_pivot,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Schema-equivalent transaction frames exercise the standard and empty pivot behaviour on both sides.",none
95,a39f4527_expose_trx_unique,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Both mutated self.data and the return contract are observed for standard and duplicate transactions.",none
96,a52cebfe_common_get_observations,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The mutable observations list is the explicit observable and is compared for populated and empty experiments.",none
97,a52cebfe_common_summary_filter,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The missing-key branch accepted any generated exception as equivalent to the oracle KeyError.","Require the oracle KeyError and reject generated SyntaxError or NameError as non-equivalent."
98,a52cebfe_es_update_pivot_join,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"All returned dictionary fields are normalized and compared for complete and missing-response joins.",none
99,a52cebfe_es_update_scaling_factors,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The return frame and value saved into the ensemble are both observed; duplicate-index rejection is type-specific.",none
100,a52cebfe_measured_data_pivot_join,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"Multi-index row and column labels are explicitly normalized with values and compared for standard and single-realization cases.",none
101,a52cebfe_rft_concat_write,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The empty-list case considered arbitrary exception pairs equivalent.","Exclude generated SyntaxError and NameError while retaining semantic rejection of empty concatenation."
102,a52cebfe_rft_obs_join,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,repair,"The no-realizations case passed whenever both sides raised, including possible generated syntax or wrapper failures.","Accept paired rejection only when the generated exception is not SyntaxError or NameError."
103,a841955a_summarise_select,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,clean,"The selected columns and empty schema are compared using equivalent frames.",none
104,a841955a_summarise_unmapped,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,repair,"The original L3 ran only generated code and therefore could not establish empty-input equivalence.","Run both implementations on schema-bearing empty summaries and compare the complete results."
