pair_id,repo,sha,file_path,pair_stem,before_path,after_path,patch_path,test_label,match_status,file_status,macro_primary_old,macro_all_old,patch_lines_file_old
AroneyS__binchicken__05afd8785eb79c5ad01bcf2355520c80ffb16739__001,AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,ibis/workflow/scripts/evaluate.py,ibis__workflow__scripts__evaluate.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/ibis__workflow__scripts__evaluate.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/ibis__workflow__scripts__evaluate.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/ibis__workflow__scripts__evaluate.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Aggregation & joins;Missing values;Core dataframe transforms,
AroneyS__binchicken__05afd8785eb79c5ad01bcf2355520c80ffb16739__002,AroneyS/binchicken,05afd8785eb79c5ad01bcf2355520c80ffb16739,test/test_evaluate_script.py,test__test_evaluate_script.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/test__test_evaluate_script.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/test__test_evaluate_script.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/05afd8785eb79c5ad01bcf2355520c80ffb16739/test__test_evaluate_script.py.patch,Yes,exact_match,complete,Core dataframe transforms,Core dataframe transforms,
AroneyS__binchicken__1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed__001,AroneyS/binchicken,1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed,ibis/workflow/scripts/target_elusive.py,ibis__workflow__scripts__target_elusive.py,first_isolated_migrations_artifacts/AroneyS__binchicken/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed/ibis__workflow__scripts__target_elusive.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed/ibis__workflow__scripts__target_elusive.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/1f8af3a3bfc0d137d8a76cb5a2bd6c484e6650ed/ibis__workflow__scripts__target_elusive.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms;Types & schema;Other / Manual,
AroneyS__binchicken__83c126954359efe0b6c3a339afe1d466ac675dd5__001,AroneyS/binchicken,83c126954359efe0b6c3a339afe1d466ac675dd5,ibis/workflow/scripts/collect_reference_bins.py,ibis__workflow__scripts__collect_reference_bins.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/ibis__workflow__scripts__collect_reference_bins.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/ibis__workflow__scripts__collect_reference_bins.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/ibis__workflow__scripts__collect_reference_bins.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms;Other / Manual,
AroneyS__binchicken__83c126954359efe0b6c3a339afe1d466ac675dd5__002,AroneyS/binchicken,83c126954359efe0b6c3a339afe1d466ac675dd5,test/test_collect_reference_bins.py,test__test_collect_reference_bins.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/test__test_collect_reference_bins.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/test__test_collect_reference_bins.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/83c126954359efe0b6c3a339afe1d466ac675dd5/test__test_collect_reference_bins.py.patch,Yes,exact_match,complete,Core dataframe transforms,Core dataframe transforms,
AroneyS__binchicken__92e35040b869ded08ec8660091f49024221a9ffb__001,AroneyS/binchicken,92e35040b869ded08ec8660091f49024221a9ffb,ibis/workflow/scripts/query_processing.py,ibis__workflow__scripts__query_processing.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/ibis__workflow__scripts__query_processing.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/ibis__workflow__scripts__query_processing.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/ibis__workflow__scripts__query_processing.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms,
AroneyS__binchicken__92e35040b869ded08ec8660091f49024221a9ffb__002,AroneyS/binchicken,92e35040b869ded08ec8660091f49024221a9ffb,test/test_query_processing.py,test__test_query_processing.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/test__test_query_processing.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/test__test_query_processing.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/92e35040b869ded08ec8660091f49024221a9ffb/test__test_query_processing.py.patch,Yes,exact_match,complete,Core dataframe transforms,Core dataframe transforms,
AroneyS__binchicken__a841955a96a654d4c6a2642489313a1371d8cf0c__001,AroneyS/binchicken,a841955a96a654d4c6a2642489313a1371d8cf0c,ibis/workflow/scripts/summarise_coassemblies.py,ibis__workflow__scripts__summarise_coassemblies.py,first_isolated_migrations_artifacts/AroneyS__binchicken/a841955a96a654d4c6a2642489313a1371d8cf0c/ibis__workflow__scripts__summarise_coassemblies.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/a841955a96a654d4c6a2642489313a1371d8cf0c/ibis__workflow__scripts__summarise_coassemblies.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/a841955a96a654d4c6a2642489313a1371d8cf0c/ibis__workflow__scripts__summarise_coassemblies.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms;Other / Manual,
AroneyS__binchicken__caa7094a184c2d5abebb7327da697bc1410e0f07__001,AroneyS/binchicken,caa7094a184c2d5abebb7327da697bc1410e0f07,test/test_target_elusive.py,test__test_target_elusive.py,first_isolated_migrations_artifacts/AroneyS__binchicken/caa7094a184c2d5abebb7327da697bc1410e0f07/test__test_target_elusive.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/caa7094a184c2d5abebb7327da697bc1410e0f07/test__test_target_elusive.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/caa7094a184c2d5abebb7327da697bc1410e0f07/test__test_target_elusive.py.patch,Yes,exact_match,complete,Core dataframe transforms,Core dataframe transforms;Types & schema,
AroneyS__binchicken__d90ed4166222bbba558a0d3015bbecf07e19ce1a__001,AroneyS/binchicken,d90ed4166222bbba558a0d3015bbecf07e19ce1a,ibis/ibis.py,ibis__ibis.py,first_isolated_migrations_artifacts/AroneyS__binchicken/d90ed4166222bbba558a0d3015bbecf07e19ce1a/ibis__ibis.py.before.py,first_isolated_migrations_artifacts/AroneyS__binchicken/d90ed4166222bbba558a0d3015bbecf07e19ce1a/ibis__ibis.py.after.py,first_isolated_migrations_artifacts/AroneyS__binchicken/d90ed4166222bbba558a0d3015bbecf07e19ce1a/ibis__ibis.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms,
GenomicMedLab__cool-seq-tool__774f17e7f286b83924de6f76b21933ecfe4a787e__001,GenomicMedLab/cool-seq-tool,774f17e7f286b83924de6f76b21933ecfe4a787e,cool_seq_tool/mappers/mane_transcript.py,cool_seq_tool__mappers__mane_transcript.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__mappers__mane_transcript.py.before.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__mappers__mane_transcript.py.after.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__mappers__mane_transcript.py.patch,Yes,exact_match,complete,Core dataframe transforms,Core dataframe transforms;Types & schema,
GenomicMedLab__cool-seq-tool__774f17e7f286b83924de6f76b21933ecfe4a787e__002,GenomicMedLab/cool-seq-tool,774f17e7f286b83924de6f76b21933ecfe4a787e,cool_seq_tool/sources/mane_transcript_mappings.py,cool_seq_tool__sources__mane_transcript_mappings.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__sources__mane_transcript_mappings.py.before.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__sources__mane_transcript_mappings.py.after.py,first_isolated_migrations_artifacts/GenomicMedLab__cool-seq-tool/774f17e7f286b83924de6f76b21933ecfe4a787e/cool_seq_tool__sources__mane_transcript_mappings.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Core dataframe transforms,
