Test,repo,sha,author,date_iso,subject,file_path,pandas_type_all,polars_type_all,macro_primary,macro_all,macro_evidence,pandas_evidence,polars_evidence,patch_lines_file,pandas_type_all.1,polars_type_all.1,macro_all.1
No,AashishTangnami/data_analysis_tool,8aef85ae1701fc1d7c79e494b240d1a918c7f796,Aashish Tangnami,2025-05-11T18:40:57-04:00,results matched for both pandas and polars diagnostic analysis,src/backend/core/analysis/diagnostic/polars_diagnostic.py,,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,,Expressions - Columns/names:\b(?:pl|polars)\.col\b,254,"General functions - Temporal | Missing values | pandas arrays, scalars, and data types",Expressions - Functions - Core | DataFrame - Manipulation/selection | DataFrame - Aggregation | Data types,Aggregation & joins | Core dataframe transforms | Time series & window | Types & schema
No,AashishTangnami/data_analysis_tool,52e9b6f30bbaf1bb9fcb17d12c9ba0e890affca3,Aashish Tangnami,2025-04-29T22:14:47-04:00,Fixed the consistent result for polars and pandas for same file,src/backend/core/analysis/diagnostic/polars_diagnostic.py,,Expressions - Columns/names;Expressions - Functions,Other / Manual,Other / Manual,fallback:Other,,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,373,"Missing values | pandas arrays, scalars, and data types | Index objects",Expressions - Functions - Core | DataFrame - Manipulation/selection | DataFrame - Aggregation,Aggregation & joins | Core dataframe transforms | Index & pandas-specific semantics | Types & schema
No,AashishTangnami/data_analysis_tool,4df39344c6ee6b591469ac8f2dd49440bf0825ec,Aashish Tangnami,2025-04-27T21:10:40-04:00,Fixed numeric edge cases in different analysis type for pandas and polars,src/backend/core/analysis/diagnostic/polars_diagnostic.py,General functions,Other polars API,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,36,"pandas arrays, scalars, and data types",Expressions - Functions - Core | DataFrame - Manipulation/selection | DataFrame - Aggregation | Data types,Aggregation & joins | Core dataframe transforms | Types & schema
No,AashishTangnami/data_analysis_tool,66626f748fdc042be18a00fc9dcdee6a5f2e97b7,Aashish Tangnami,2025-04-23T03:31:43-04:00,Cleaned pandas ingestion process and optimized memory efficiency,src/backend/core/ingestion/polars_ingestion.py,Input/output,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV;Input/output - Excel;Input/output - IPC;Input/output - JSON;Input/output - Parquet,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b|Input/output - Excel:\b(?:pl|polars)\.(?:read_excel|read_ods)\b|Input/output - IPC:\b(?:pl|polars)\.(?:read_ipc|read_ipc_schema|read_ipc_stream|scan_ipc)\b,315,Input/output,Input/output - CSV | Input/output - Parquet | Input/output - Excel | Input/output - JSON | Input/output - IPC | LazyFrame - Manipulation/selection | Expressions - Functions - Core | DataFrame - Manipulation/selection | DataFrame - Aggregation | DataFrame - Computation | Data types,Aggregation & joins | Core dataframe transforms | IO boundary | Types & schema
No,AlexKirkup90/Simplified_Model,c2fd2b45139112d2fa0de0575fd94f628ac9f6b8,AlexKirkup90,2025-09-16T15:58:59+01:00,Add optional polars signal pipeline,backend.py,Other pandas API,Expressions - Columns/names;Expressions - Functions;Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,461,,,
No,AlexKirkup90/Simplified_Model,ed87fc92a406dcf2206351c19cdc47b0a66bcc60,AlexKirkup90,2025-09-29T13:29:27+01:00,Replace polars helper block with pandas-first version,backend.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,643,,,
No,Amsterdam/financiele_overzichten,0fa45fd4cf9e630dd3988a363f71830042967a14,Thomas van der Linden,2025-10-06T15:44:45+02:00,eerste werkende versie met polars,tool.py,Input/output,Input/output - Excel,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - Excel:\b(?:pl|polars)\.(?:read_excel|read_ods)\b,20,,,
No,Amsterdam/financiele_overzichten,85f9b7f5f9017068a66eacc1885eca0bec7d7259,Thomas van der Linden,2025-10-07T15:10:00+02:00,"environment werkend gemaakt voor polars, ongebruikte imports verwijderd en inlees- en wegschrijfvariabelen aangepast voor polars",tool.py,,Input/output - CSV,Other / Manual,Other / Manual,fallback:Other,,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,17,,,
No,CityofToronto/bdit_tt_request_app,315b52a39009b28622a9f7e6d4d4fad6a5fc5189,Nate Wessel,2025-10-03T12:40:03-04:00,Replace Pandas with Polars (#226),backend/app/travel_times/get_travel_time.py,General functions,Expressions - Columns/names;Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,73,,,
Yes,DeepGroundwater/ddr,d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7,taddyb,2025-06-19T09:41:51-04:00,feat: applying pyiceberg and polars changes to the adjacency code,engine/adjacency.py,Other pandas API,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b,109,,,
